==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2020   D20
runs per function : 30
functions         : [7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_16.17.36
==============================================================================================================

----- F7  D20  (30 runs)  optimum=2100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      48240949      2.1005444899176732e+03   5.4448991767300003e-01   10000000      max_evaluations         392.0222  
2      49240986      2.1006490186241881e+03   6.4901862418800005e-01   10000000      max_evaluations         389.5663  
3      50241023      2.1088103352919461e+03   8.8103352919460001e+00   10000000      max_evaluations         417.6812  
4      51241060      2.1088687959319532e+03   8.8687959319530005e+00   10000000      max_evaluations         384.6918  
5      52241097      2.1004242122583041e+03   4.2421225830400000e-01   10000000      max_evaluations         417.5781  
6      53241134      2.1007188138778843e+03   7.1881387788429996e-01   10000000      max_evaluations         393.0350  
7      54241171      2.1005473569324140e+03   5.4735693241399996e-01   10000000      max_evaluations         417.7078  
8      55241208      2.1298298240025770e+03   2.9829824002576999e+01   10000000      max_evaluations         413.7357  
9      56241245      2.1005646887635698e+03   5.6468876356999997e-01   10000000      max_evaluations         389.7227  
10     57241282      2.1005761943392267e+03   5.7619433922670005e-01   10000000      max_evaluations         415.5403  
11     58241319      2.1003757589580837e+03   3.7575895808370002e-01   10000000      max_evaluations         419.1729  
12     59241356      2.1038844132877812e+03   3.8844132877809998e+00   10000000      max_evaluations         389.9602  
13     60241393      2.1005743546023396e+03   5.7435460233960001e-01   10000000      max_evaluations         387.2987  
14     61241430      2.1005825434926355e+03   5.8254349263549998e-01   10000000      max_evaluations         418.4248  
15     62241467      2.1124581812149954e+03   1.2458181214995401e+01   10000000      max_evaluations         385.9872  
16     63241504      2.1009538496514242e+03   9.5384965142400002e-01   10000000      max_evaluations         385.1022  
17     64241541      2.1002995436583587e+03   2.9954365835870000e-01   10000000      max_evaluations         386.3696  
18     65241578      2.1007408510671407e+03   7.4085106714070004e-01   10000000      max_evaluations         386.0274  
19     66241615      2.1003726021851958e+03   3.7260218519600002e-01   10000000      max_evaluations         383.7994  
20     67241652      2.1088676132316382e+03   8.8676132316379999e+00   10000000      max_evaluations         386.8525  
21     68241689      2.1005809072919947e+03   5.8090729199470004e-01   10000000      max_evaluations         386.1012  
22     69241726      2.1003674335483165e+03   3.6743354831649999e-01   10000000      max_evaluations         404.3690  
23     70241763      2.1003881429007006e+03   3.8814290070059998e-01   10000000      max_evaluations         402.4524  
24     71241800      2.1168672157548272e+03   1.6867215754827001e+01   10000000      max_evaluations         404.0669  
25     72241837      2.1171312441119094e+03   1.7131244111909400e+01   10000000      max_evaluations         403.7112  
26     73241874      2.1002404808222709e+03   2.4048082227100001e-01   10000000      max_evaluations         403.1481  
27     74241911      2.1004567657576058e+03   4.5676575760600002e-01   10000000      max_evaluations         402.8346  
28     75241948      2.1003269302020030e+03   3.2693020200299999e-01   10000000      max_evaluations         401.0338  
29     76241985      2.1003539032025119e+03   3.5390320251200003e-01   10000000      max_evaluations         186.8760  
30     77242022      2.1109323197696121e+03   1.0932319769612000e+01   10000000      max_evaluations         188.1561  

----- F8  D20  (30 runs)  optimum=2200  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      49240982      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         492.5985  
2      50241019      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         494.3412  
3      51241056      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         492.1291  
4      52241093      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         494.0443  
5      53241130      2.2697586910567907e+03   6.9758691056790695e+01   10000000      max_evaluations         500.0147  
6      54241167      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         511.5040  
7      55241204      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         511.4007  
8      56241241      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         516.9607  
9      57241278      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         510.2703  
10     58241315      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         510.9525  
11     59241352      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         514.6193  
12     60241389      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         512.8992  
13     61241426      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         492.8918  
14     62241463      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         495.5084  
15     63241500      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         415.8466  
16     64241537      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         411.7065  
17     65241574      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         413.2577  
18     66241611      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         412.9754  
19     67241648      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         412.9414  
20     68241685      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         410.4418  
21     69241722      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         412.8435  
22     70241759      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         432.7868  
23     71241796      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         435.1217  
24     72241833      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         430.8544  
25     73241870      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         430.8594  
26     74241907      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         430.4117  
27     75241944      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         432.1065  
28     76241981      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         428.1273  
29     77242018      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         195.5853  
30     78242055      2.3000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         194.8668  

----- F9  D20  (30 runs)  optimum=2400  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      50241015      2.5000000000000041e+03   1.0000000000000399e+02   10000000      max_evaluations         431.8518  
2      51241052      2.8163950218218370e+03   4.1639502182183702e+02   10000000      max_evaluations         445.2361  
3      52241089      2.8242202986240218e+03   4.2422029862402201e+02   10000000      max_evaluations         429.5742  
4      53241126      2.5000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         432.7873  
5      54241163      2.5000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         428.2881  
6      55241200      2.8145767548893646e+03   4.1457675488936462e+02   10000000      max_evaluations         453.9613  
7      56241237      2.5000000000000014e+03   1.0000000000000141e+02   10000000      max_evaluations         447.6181  
8      57241274      2.8095873820794659e+03   4.0958738207946601e+02   10000000      max_evaluations         459.2709  
9      58241311      2.5000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         444.9975  
10     59241348      2.8127367551859024e+03   4.1273675518590238e+02   10000000      max_evaluations         442.8945  
11     60241385      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         449.0637  
12     61241422      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         447.1221  
13     62241459      2.6006755292716930e+03   2.0067552927169299e+02   10000000      max_evaluations         427.3323  
14     63241496      2.5000000000000005e+03   1.0000000000000050e+02   10000000      max_evaluations         431.4989  
15     64241533      2.8177628059305052e+03   4.1776280593050518e+02   10000000      max_evaluations         399.6484  
16     65241570      2.8137330982798699e+03   4.1373309827986998e+02   10000000      max_evaluations         414.4391  
17     66241607      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         397.4927  
18     67241644      2.7969577881316923e+03   3.9695778813169233e+02   10000000      max_evaluations         412.5756  
19     68241681      2.8048015567696812e+03   4.0480155676968099e+02   10000000      max_evaluations         413.3118  
20     69241718      2.8118673836978837e+03   4.1186738369788372e+02   10000000      max_evaluations         414.4552  
21     70241755      2.8211376485622795e+03   4.2113764856227948e+02   10000000      max_evaluations         409.7365  
22     71241792      2.8281460702822696e+03   4.2814607028226959e+02   10000000      max_evaluations         407.4947  
23     72241829      2.8273819936996370e+03   4.2738199369963701e+02   10000000      max_evaluations         408.1856  
24     73241866      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         402.3158  
25     74241903      2.8232625088758577e+03   4.2326250887585769e+02   10000000      max_evaluations         406.4788  
26     75241940      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         401.5666  
27     76241977      2.8148438793466958e+03   4.1484387934669581e+02   10000000      max_evaluations         394.4789  
28     77242014      2.8170832324637704e+03   4.1708323246377040e+02   10000000      max_evaluations         394.8614  
29     78242051      2.5000000000000032e+03   1.0000000000000300e+02   10000000      max_evaluations         140.3158  
30     79242088      2.5000000000000009e+03   1.0000000000000099e+02   10000000      max_evaluations         140.7485  

----- F10  D20  (30 runs)  optimum=2500  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      51241048      2.9136781437876261e+03   4.1367814378762603e+02   10000000      max_evaluations         422.5727  
2      52241085      2.8990457658056971e+03   3.9904576580569699e+02   10000000      max_evaluations         426.6300  
3      53241122      2.9100595028340072e+03   4.1005950283400699e+02   10000000      max_evaluations         419.2746  
4      54241159      2.8991148004769848e+03   3.9911480047698501e+02   10000000      max_evaluations         425.7872  
5      55241196      2.8990675968581918e+03   3.9906759685819202e+02   10000000      max_evaluations         428.4555  
6      56241233      2.8990539619409419e+03   3.9905396194094197e+02   10000000      max_evaluations         429.8886  
7      57241270      2.9012194876996036e+03   4.0121948769960358e+02   10000000      max_evaluations         430.4169  
8      58241307      2.9100393495592298e+03   4.1003934955923000e+02   10000000      max_evaluations         427.8253  
9      59241344      2.9011794363449526e+03   4.0117943634495259e+02   10000000      max_evaluations         433.5378  
10     60241381      2.9137634893603245e+03   4.1376348936032451e+02   10000000      max_evaluations         425.1108  
11     61241418      2.9136573557708516e+03   4.1365735577085161e+02   10000000      max_evaluations         433.8477  
12     62241455      2.8990354089404645e+03   3.9903540894046449e+02   10000000      max_evaluations         434.8099  
13     63241492      2.9100507638017007e+03   4.1005076380170073e+02   10000000      max_evaluations         417.7294  
14     64241529      2.8990728556488602e+03   3.9907285564886018e+02   10000000      max_evaluations         425.2409  
15     65241566      2.8990413635421455e+03   3.9904136354214552e+02   10000000      max_evaluations         443.0726  
16     66241603      2.8990379384575831e+03   3.9903793845758298e+02   10000000      max_evaluations         445.9776  
17     67241640      2.9136736498219461e+03   4.1367364982194601e+02   10000000      max_evaluations         446.4076  
18     68241677      2.9136978144173613e+03   4.1369781441736131e+02   10000000      max_evaluations         447.7622  
19     69241714      2.9000000000000009e+03   4.0000000000000102e+02   10000000      max_evaluations         441.9126  
20     70241751      2.8990962022048334e+03   3.9909620220483339e+02   10000000      max_evaluations         445.2489  
21     71241788      2.8990932005222285e+03   3.9909320052222853e+02   10000000      max_evaluations         445.5537  
22     72241825      2.9009639410040791e+03   4.0096394100407900e+02   10000000      max_evaluations         452.7226  
23     73241862      2.8990438664470080e+03   3.9904386644700799e+02   10000000      max_evaluations         452.6495  
24     74241899      2.8990490818862036e+03   3.9904908188620362e+02   10000000      max_evaluations         455.5318  
25     75241936      2.8990505868347745e+03   3.9905058683477449e+02   10000000      max_evaluations         449.6102  
26     76241973      2.9100458782721580e+03   4.1004587827215801e+02   10000000      max_evaluations         451.1863  
27     77242010      2.9136584387446483e+03   4.1365843874464832e+02   10000000      max_evaluations         447.8285  
28     78242047      2.8990687905899358e+03   3.9906879058993599e+02   10000000      max_evaluations         451.1042  
29     79242084      2.8990891153150023e+03   3.9908911531500229e+02   10000000      max_evaluations         149.4492  
30     80242121      2.8990732150233475e+03   3.9907321502334747e+02   10000000      max_evaluations         147.2419  

