==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_11.54.06
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7332    
2      28240743      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7519    
3      29240780      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7578    
4      30240817      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7378    
5      31240854      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7100    
6      32240891      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6904    
7      33240928      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7382    
8      34240965      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7640    
9      35241002      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7539    
10     36241039      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7795    
11     37241076      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7071    
12     38241113      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7684    
13     39241150      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7356    
14     40241187      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7105    
15     41241224      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7335    
16     42241261      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7226    
17     43241298      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7354    
18     44241335      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7712    
19     45241372      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7268    
20     46241409      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7180    
21     47241446      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7319    
22     48241483      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7533    
23     49241520      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7322    
24     50241557      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7329    
25     51241594      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7496    
26     52241631      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7337    
27     53241668      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7091    
28     54241705      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7320    
29     55241742      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7831    
30     56241779      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.7919    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1540805819232178e+03   5.4080581923217800e+01   50000         max_evaluations         0.7902    
2      29240776      1.1045778024896745e+03   4.5778024896745002e+00   50000         max_evaluations         0.8019    
3      30240813      1.1120362877937350e+03   1.2036287793734999e+01   50000         max_evaluations         0.7714    
4      31240850      1.1084303315350771e+03   8.4303315350770998e+00   50000         max_evaluations         0.8092    
5      32240887      1.1019741978151096e+03   1.9741978151096000e+00   50000         max_evaluations         0.7918    
6      33240924      1.1110082995174753e+03   1.1008299517475299e+01   50000         max_evaluations         0.8226    
7      34240961      1.1186854696669784e+03   1.8685469666978399e+01   50000         max_evaluations         0.7813    
8      35240998      1.1082043305706052e+03   8.2043305706051992e+00   50000         max_evaluations         0.7936    
9      36241035      1.1884332750110405e+03   8.8433275011040493e+01   50000         max_evaluations         0.7598    
10     37241072      1.1219576163000038e+03   2.1957616300003799e+01   50000         max_evaluations         0.7796    
11     38241109      1.1193386829427964e+03   1.9338682942796400e+01   50000         max_evaluations         0.8036    
12     39241146      1.1168095021693521e+03   1.6809502169352001e+01   50000         max_evaluations         0.7748    
13     40241183      1.1188950958538753e+03   1.8895095853875301e+01   50000         max_evaluations         0.7991    
14     41241220      1.1865832520040801e+03   8.6583252004080094e+01   50000         max_evaluations         0.7621    
15     42241257      1.1107262728302585e+03   1.0726272830258500e+01   50000         max_evaluations         0.7791    
16     43241294      1.1044004534248334e+03   4.4004534248334002e+00   50000         max_evaluations         0.7653    
17     44241331      1.1154665766600410e+03   1.5466576660041000e+01   50000         max_evaluations         0.7821    
18     45241368      1.1023517930800708e+03   2.3517930800708000e+00   50000         max_evaluations         0.7700    
19     46241405      1.1171823562972777e+03   1.7182356297277700e+01   50000         max_evaluations         0.7551    
20     47241442      1.1072337275968384e+03   7.2337275968384001e+00   50000         max_evaluations         0.7531    
21     48241479      1.1075077629703483e+03   7.5077629703483000e+00   50000         max_evaluations         0.7669    
22     49241516      1.1039815302672378e+03   3.9815302672378001e+00   50000         max_evaluations         0.7812    
23     50241553      1.1119584117393138e+03   1.1958411739313799e+01   50000         max_evaluations         0.7785    
24     51241590      1.1081927775595627e+03   8.1927775595626997e+00   50000         max_evaluations         0.7480    
25     52241627      1.1192457823519590e+03   1.9245782351959001e+01   50000         max_evaluations         0.7382    
26     53241664      1.1044674319701867e+03   4.4674319701867002e+00   50000         max_evaluations         0.7712    
27     54241701      1.1099042399510272e+03   9.9042399510272006e+00   50000         max_evaluations         0.7700    
28     55241738      1.1009753314977797e+03   9.7533149777969996e-01   50000         max_evaluations         0.7535    
29     56241775      1.1052323005840863e+03   5.2323005840862997e+00   50000         max_evaluations         0.8042    
30     57241812      1.1027506439969411e+03   2.7506439969410001e+00   50000         max_evaluations         0.7260    

----- F3  D5  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      29240772      7.0000000017466789e+02   1.7466789999999999e-07   50000         max_evaluations         0.8651    
2      30240809      7.0223309413000277e+02   2.2330941300028000e+00   50000         max_evaluations         0.8387    
3      31240846      7.0173093690820042e+02   1.7309369082004000e+00   50000         max_evaluations         0.8438    
4      32240883      7.0005021158011721e+02   5.0211580117199998e-02   50000         max_evaluations         0.8476    
5      33240920      7.0045935575201815e+02   4.5935575201820000e-01   50000         max_evaluations         0.8417    
6      34240957      7.0527422889021636e+02   5.2742288902164001e+00   50000         max_evaluations         0.8631    
7      35240994      7.0182550899709906e+02   1.8255089970991001e+00   50000         max_evaluations         0.8577    
8      36241031      7.0136989635160126e+02   1.3698963516013001e+00   50000         max_evaluations         0.8802    
9      37241068      7.0099891908003474e+02   9.9891908003469998e-01   50000         max_evaluations         0.8389    
10     38241105      7.0200495719762671e+02   2.0049571976267000e+00   50000         max_evaluations         0.8185    
11     39241142      7.0080760514038820e+02   8.0760514038819997e-01   50000         max_evaluations         0.8733    
12     40241179      7.0128073900983509e+02   1.2807390098350999e+00   50000         max_evaluations         0.8699    
13     41241216      7.0101180983111647e+02   1.0118098311165000e+00   50000         max_evaluations         0.8290    
14     42241253      7.0005824611986338e+02   5.8246119863400003e-02   50000         max_evaluations         0.8360    
15     43241290      7.0204128114136211e+02   2.0412811413620999e+00   50000         max_evaluations         0.8529    
16     44241327      7.0301572294646894e+02   3.0157229464688999e+00   50000         max_evaluations         0.7991    
17     45241364      7.0070742991387806e+02   7.0742991387809995e-01   50000         max_evaluations         0.8204    
18     46241401      7.0014545119732577e+02   1.4545119732580000e-01   50000         max_evaluations         0.8425    
19     47241438      7.0078269263886898e+02   7.8269263886899998e-01   50000         max_evaluations         0.7958    
