Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,2.4981776416E-01,1.8207935859E+01,3.2317382383E+01,1.7489306200E+02,3.8068599111E+01
3,5.0938598910E-01,7.7894224557E+00,7.9473123756E+00,1.2874646776E+01,3.7329274528E+00
4,1.1343637436E-02,1.0247321845E-01,1.2334818503E-01,3.1152825265E-01,8.5348836415E-02
5,0.0000000000E+00,2.0814298465E-01,2.7568398198E-01,9.2443777914E-01,2.1719380639E-01
6,1.6703328244E-02,1.3522006915E-01,1.8318379546E-01,4.9711156409E-01,1.4908528865E-01
7,5.9624909000E-05,1.8252496829E-03,2.5428431567E-03,8.5496051756E-03,2.3954023996E-03
8,0.0000000000E+00,4.5898442931E+01,5.7379687005E+01,1.0066608577E+02,4.2231615003E+01
9,0.0000000000E+00,1.0000000000E+02,9.3333333333E+01,1.0000000000E+02,2.5370813170E+01
10,1.0000033716E+02,3.9774286947E+02,3.5804393005E+02,3.9774286947E+02,1.0294309263E+02
