Eval,BestError,Log10Error
100,7.7296023115675891e+17,1.7888157150019914e+01
200,3.6594637772698419e+17,1.7563417452707569e+01
300,2.4511269040428669e+17,1.7389365796890104e+01
400,2.4511269040428669e+17,1.7389365796890104e+01
500,1.2023564914798326e+17,1.7080033252465665e+01
600,9.1439626806731520e+16,1.6961134444901354e+01
700,4.8545053986906088e+16,1.6686144988402290e+01
800,4.8545053986906088e+16,1.6686144988402290e+01
900,4.8545053986906088e+16,1.6686144988402290e+01
1000,2.8405727956001988e+16,1.6453405923457449e+01
1100,2.8405727956001988e+16,1.6453405923457449e+01
1200,2.8405727956001988e+16,1.6453405923457449e+01
1300,1.4283458020117972e+16,1.6154833362709649e+01
1400,1.4283458020117972e+16,1.6154833362709649e+01
1500,1.3241242411316060e+16,1.6121928736392523e+01
1600,9.9709483744856820e+15,1.5998736467661491e+01
1700,9.9709483744856820e+15,1.5998736467661491e+01
1800,9.9709483744856820e+15,1.5998736467661491e+01
1900,9.9709483744856820e+15,1.5998736467661491e+01
2000,9.9709483744856820e+15,1.5998736467661491e+01
2100,5.0944343340915860e+15,1.5707095968671986e+01
2200,5.0944343340915860e+15,1.5707095968671986e+01
2300,3.3762551564079050e+15,1.5528435260475119e+01
2400,3.3762551564079050e+15,1.5528435260475119e+01
2500,3.3762551564079050e+15,1.5528435260475119e+01
2600,3.3762551564079050e+15,1.5528435260475119e+01
2700,3.3762551564079050e+15,1.5528435260475119e+01
2800,3.3762551564079050e+15,1.5528435260475119e+01
2900,2.6745018841440310e+15,1.5427242908184697e+01
3000,2.6745018841440310e+15,1.5427242908184697e+01
3100,2.6745018841440310e+15,1.5427242908184697e+01
3200,2.6745018841440310e+15,1.5427242908184697e+01
3300,2.6745018841440310e+15,1.5427242908184697e+01
3400,2.0819215841565492e+15,1.5318464367725214e+01
3500,2.0819215841565492e+15,1.5318464367725214e+01
3600,1.5604433185115910e+15,1.5193247997990316e+01
3700,1.5604433185115910e+15,1.5193247997990316e+01
3800,1.5446634896805445e+15,1.5188833881500180e+01
3900,1.5446634896805445e+15,1.5188833881500180e+01
4000,1.4062003342136442e+15,1.5148047196818737e+01
4100,1.3564665664877820e+15,1.5132409093955481e+01
4200,1.3564665664877820e+15,1.5132409093955481e+01
4300,1.3564665664877820e+15,1.5132409093955481e+01
4400,1.0538494579073776e+15,1.5022778576465118e+01
4500,9.4655424657824462e+14,1.4976145508225335e+01
4600,8.9740238805878325e+14,1.4952987220890584e+01
4700,8.9740238805878325e+14,1.4952987220890584e+01
4800,7.1916534336766162e+14,1.4856828750545475e+01
4900,7.1916534336766162e+14,1.4856828750545475e+01
5000,7.1916534336766162e+14,1.4856828750545475e+01
5100,4.6370364279076106e+14,1.4666240507665725e+01
5200,4.6370364279076106e+14,1.4666240507665725e+01
5300,4.6370364279076106e+14,1.4666240507665725e+01
5400,4.6370364279076106e+14,1.4666240507665725e+01
5500,4.6370364279076106e+14,1.4666240507665725e+01
5600,4.6370364279076106e+14,1.4666240507665725e+01
5700,4.6370364279076106e+14,1.4666240507665725e+01
5800,4.6370364279076106e+14,1.4666240507665725e+01
5900,4.6370364279076106e+14,1.4666240507665725e+01
6000,4.6370364279076106e+14,1.4666240507665725e+01
6100,4.0375447124634956e+14,1.4606117344817461e+01
6200,4.0375447124634956e+14,1.4606117344817461e+01
6300,3.7211447546903862e+14,1.4570676564657514e+01
6400,3.0833668928574344e+14,1.4489025204928607e+01
6500,3.0833668928574344e+14,1.4489025204928607e+01
6600,3.0833668928574344e+14,1.4489025204928607e+01
6700,3.0833668928574344e+14,1.4489025204928607e+01
6800,3.0833668928574344e+14,1.4489025204928607e+01
6900,3.0833668928574344e+14,1.4489025204928607e+01
7000,2.1156181865957216e+14,1.4325437291710635e+01
7100,2.1156181865957216e+14,1.4325437291710635e+01
7200,2.1156181865957216e+14,1.4325437291710635e+01
7300,2.1156181865957216e+14,1.4325437291710635e+01
7400,2.1156181865957216e+14,1.4325437291710635e+01
7500,2.1156181865957216e+14,1.4325437291710635e+01
7600,2.1156181865957216e+14,1.4325437291710635e+01
7700,2.1156181865957216e+14,1.4325437291710635e+01
7800,2.0621508270025878e+14,1.4314320426679510e+01
7900,2.0621508270025878e+14,1.4314320426679510e+01
8000,1.8320740098096103e+14,1.4262943013765616e+01
8100,1.8320740098096103e+14,1.4262943013765616e+01
8200,1.6849310276781594e+14,1.4226582127811596e+01
8300,1.5303624519811247e+14,1.4184794301571349e+01
8400,1.5303624519811247e+14,1.4184794301571349e+01
8500,1.5303624519811247e+14,1.4184794301571349e+01
8600,1.4908146354558153e+14,1.4173423647609104e+01
8700,1.4908146354558153e+14,1.4173423647609104e+01
8800,1.4908146354558153e+14,1.4173423647609104e+01
8900,1.4868120621617812e+14,1.4172256075768491e+01
9000,1.4371194171833172e+14,1.4157492857256674e+01
9100,1.4371194171833172e+14,1.4157492857256674e+01
9200,1.3089946189260181e+14,1.4116937861237126e+01
9300,1.2348306452087336e+14,1.4091607398976482e+01
9400,1.1292213858435998e+14,1.4052779094471266e+01
9500,1.1292213858435998e+14,1.4052779094471266e+01
9600,1.1292213858435998e+14,1.4052779094471266e+01
9700,1.0157719404942783e+14,1.4006796211783767e+01
9800,1.0157719404942783e+14,1.4006796211783767e+01
9900,9.8306575423720547e+13,1.3992582567422495e+01
10000,9.8306575423720547e+13,1.3992582567422495e+01
10100,9.8306575423720547e+13,1.3992582567422495e+01
10200,9.8306575423720547e+13,1.3992582567422495e+01
10300,8.2180148502845469e+13,1.3914766921714220e+01
10400,8.2180148502845469e+13,1.3914766921714220e+01
10500,8.2180148502845469e+13,1.3914766921714220e+01
10600,8.2180148502845469e+13,1.3914766921714220e+01
10700,6.7865210841585938e+13,1.3831647202684048e+01
10800,6.7865210841585938e+13,1.3831647202684048e+01
10900,6.7865210841585938e+13,1.3831647202684048e+01
11000,6.7865210841585938e+13,1.3831647202684048e+01
11100,6.7699634614580766e+13,1.3830586324736849e+01
11200,6.7699634614580766e+13,1.3830586324736849e+01
11300,6.7699634614580766e+13,1.3830586324736849e+01
11400,6.7699634614580766e+13,1.3830586324736849e+01
11500,6.4499971205640641e+13,1.3809559520755668e+01
11600,5.8868633795039023e+13,1.3769883956957733e+01
11700,5.8868633795039023e+13,1.3769883956957733e+01
11800,5.8752764585387516e+13,1.3769028306959607e+01
11900,5.8752764585387516e+13,1.3769028306959607e+01
12000,5.8752764585387516e+13,1.3769028306959607e+01
12100,5.8752764585387516e+13,1.3769028306959607e+01
12200,5.8752764585387516e+13,1.3769028306959607e+01
12300,5.7405215745067070e+13,1.3758951353484973e+01
12400,5.4761372774724914e+13,1.3738474326624392e+01
12500,5.4761372774724914e+13,1.3738474326624392e+01
12600,5.2390814175784109e+13,1.3719255147623416e+01
12700,5.2390814175784109e+13,1.3719255147623416e+01
12800,5.2390814175784109e+13,1.3719255147623416e+01
12900,5.1954152173928672e+13,1.3715620262079234e+01
13000,4.8185547960028992e+13,1.3682916802090556e+01
13100,4.8185547960028992e+13,1.3682916802090556e+01
13200,4.4353009514757336e+13,1.3646923093644823e+01
13300,4.4353009514757336e+13,1.3646923093644823e+01
13400,4.4353009514757336e+13,1.3646923093644823e+01
13500,4.2319103118173305e+13,1.3626536454987532e+01
13600,4.2319103118173305e+13,1.3626536454987532e+01
13700,4.2319103118173305e+13,1.3626536454987532e+01
13800,4.2319103118173305e+13,1.3626536454987532e+01
13900,4.2319103118173305e+13,1.3626536454987532e+01
14000,4.1892898039422508e+13,1.3622140404739236e+01
14100,3.7689661731441164e+13,1.3576222239629818e+01
14200,3.7689661731441164e+13,1.3576222239629818e+01
14300,3.7689661731441164e+13,1.3576222239629818e+01
14400,3.7689661731441164e+13,1.3576222239629818e+01
14500,3.7689661731441164e+13,1.3576222239629818e+01
14600,3.6775097867179000e+13,1.3565553837160799e+01
14700,3.6775097867179000e+13,1.3565553837160799e+01
14800,3.6569212820090781e+13,1.3563115611922122e+01
14900,3.5529673074013547e+13,1.3550591211350708e+01
15000,3.4179111154733457e+13,1.3533760764481446e+01
15100,3.4179111154733457e+13,1.3533760764481446e+01
15200,3.3694717937884547e+13,1.3527561825197022e+01
15300,3.3694717937884547e+13,1.3527561825197022e+01
15400,3.1974228370274797e+13,1.3504800072507210e+01
15500,3.1974228370274797e+13,1.3504800072507210e+01
15600,3.1589440008956750e+13,1.3499541927165813e+01
15700,3.1589440008956750e+13,1.3499541927165813e+01
15800,3.1452576799003098e+13,1.3497656231458402e+01
15900,3.0960683459578195e+13,1.3490810539202302e+01
16000,3.0111164694501055e+13,1.3478727554271055e+01
16100,3.0111164694501055e+13,1.3478727554271055e+01
16200,2.8152421590715801e+13,1.3449515757562235e+01
16300,2.8152421590715801e+13,1.3449515757562235e+01
16400,2.8152421590715801e+13,1.3449515757562235e+01
16500,2.8152421590715801e+13,1.3449515757562235e+01
16600,2.8152421590715801e+13,1.3449515757562235e+01
16700,2.8152421590715801e+13,1.3449515757562235e+01
16800,2.6622321029464809e+13,1.3425245916140408e+01
16900,2.6622321029464809e+13,1.3425245916140408e+01
17000,2.5961927249887184e+13,1.3414336928610762e+01
