Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,939243802,2190971243229.064,195554776338.8645,53598770333.12386,19300867321.0858,9234057240.878189,6337069826.212742,5675179045.676781,4775848416.775774,4143131022.754064,3547645004.423182,3104398835.706809,2327790186.032196,1946979174.242864,1452877367.241584
2,940243839,1968997236004.41,156834915864.6571,44688835682.73144,19847951093.22174,13165817493.84489,9780615748.443043,8841429521.370235,8111063460.818954,7258408163.72493,6113432203.328673,5636770341.371902,5102413633.983507,3988227785.645766,3371393608.112497
3,941243876,1690129387820.549,187097709221.2585,62809273452.34304,22021146465.54122,12797853246.52318,9087432540.05323,7822289051.667191,6844069121.559013,5855074956.004887,4651238722.707494,3861574264.541275,3191591806.033973,2626865786.245164,2152341238.13975
4,942243913,2940285772700.591,184423267498.1073,47572129663.79268,18310577321.4533,10349400069.07202,7693128919.048563,7053122370.586712,6534669406.10354,6051213847.021292,5607690740.568101,5086312300.547071,4429144238.257781,3703324993.76422,2744265953.81629
5,943243950,1477607026844.608,159650138457.1518,41837609183.77537,15852031209.92818,8291528011.839401,6801461895.144611,6189208778.151026,5417388979.969846,4812834586.921293,4014369970.563214,3682742602.61784,3075422379.82375,2350222835.804224,2086419405.984514
6,944243987,3917602574714.245,350084344347.2797,78029585132.32878,22138794598.59491,11596089309.1927,8665148532.394232,8040676186.516201,7406488465.374761,6777196261.358315,6120789763.072485,5253625717.661303,4273108688.61814,3842337278.269293,3327971034.259713
7,945244024,2017452593464.38,189845392753.4931,49152123486.04858,16085578454.41476,8584549814.364234,5949550653.458075,4693887401.920573,3985572583.745082,3387486506.952497,3034341216.905777,2695922219.766418,2428248032.047957,2223767884.511345,2018952623.941064
8,946244061,1924825049392.119,160849208663.4836,46827636087.14693,18608710976.79728,10746879990.8196,8118099515.720284,7442077494.745058,6865893405.21117,5838401142.157374,5244575324.979876,4567581060.622099,3889391899.108559,2596157022.497764,1452249197.44488
9,947244098,1947671121627.799,181937768351.6298,50769059983.274,15044389459.86326,9133375689.24049,7141079373.564138,6540013327.417147,5996052408.696085,5465906248.524902,4884328030.713167,3578105994.654991,2660166845.201341,2078699540.13922,1663384992.800431
10,948244135,1219289445191.679,177240861016.7376,57188502170.6391,23458972744.64947,10434376033.27093,7857846877.008217,6455449935.0802,5115121621.682611,4057951464.676906,3625317123.940323,3150995356.566911,2516839320.426233,1986666079.00563,1569752500.852139
11,949244172,1238558163269.086,130526145419.0098,43683149423.03719,18767848829.8169,10414194122.64678,8030977731.130182,7016133293.40868,6099519948.092468,5307203212.229437,4597152350.489748,3880166490.422647,3296023738.181286,2672450732.29311,2181724623.089174
12,950244209,3055724223955.665,175114935815.5978,53121301394.45363,19513751826.19537,12559513111.51431,9846285762.93742,7956871546.378044,6207737658.435522,4744407074.691418,3544297907.025067,2481257873.223231,2122363937.600895,1771293121.022644,1375558954.004749
13,951244246,1668524619365.061,171440543628.4467,58886426954.91255,25249230385.82053,10700575018.97943,6347695714.303713,5365899991.170734,4670232784.785435,4094872096.571967,3335652917.591668,2852872767.600471,2533403046.305754,2278890806.762528,1942435348.186714
14,952244283,1814184128707.545,157758692168.2152,46650085264.34296,17944980122.28194,8805399226.923988,6596572018.108457,5402094896.688745,4570410439.041187,3845976902.66175,3309206816.815255,3030259429.872472,2555009190.687286,2184834861.270209,1988087937.16756
15,953244320,2146851985202.625,199331740069.2242,58796327885.89708,18048296796.51331,10628448473.53572,8042147043.298824,6948636104.486525,6339099773.59668,5948924823.420509,5675817539.707602,5078530731.108377,3948861153.733811,3021008070.167309,2567027429.241712
16,954244357,2824845852870.68,193808198012.1879,47765181063.5523,23859099120.10482,11755958979.97529,9228420161.38892,8144829071.761023,7309162218.376725,6323678640.672379,5359299248.902873,4804146142.868155,3939925581.528698,3112796135.179159,2749474704.659051
17,955244394,2205261306531.531,233470986394.4311,80590753891.04462,20920787366.85196,8996894696.575314,7055242123.192702,5793943222.20424,4805909979.068312,4224052587.137936,3653003711.167881,3215815599.743176,2749199723.283413,2224750085.769917,1819584219.766883
18,956244431,1743891930449.641,191009766758.6995,51391489359.68112,15928682277.00912,10711415233.73174,8488410653.430246,7428306606.563387,6117182456.762546,5392301037.548183,4734479121.11346,4134035617.52224,3470504173.009904,2702380191.394924,2267582164.866377
19,957244468,1405507654302.339,216624505799.3115,61753090855.77196,17120123552.17458,8951102486.484352,6083577318.531043,4349081727.550158,3664001877.011579,2870389771.796885,2526261275.170132,2185603388.735281,1894916450.810073,1650286704.611611,1452148449.244231
20,958244505,1577875362986.052,177711681883.9725,54656273087.88301,19216250597.97393,11100269098.9697,9200596236.673519,7992013534.007397,6958343848.116743,6197460838.94836,5358406650.391526,3859128385.634994,2528667308.055013,1979512909.466753,1699197767.665136
21,959244542,1874585701589.134,155872150944.0144,42560354863.4635,12902180020.05039,6790335173.800823,4890094446.067782,4239964606.7898,3625711955.716247,3206194038.211302,2662994171.226319,2295548178.020519,1926497196.587632,1514274317.317786,1322661316.538549
22,960244579,1541873389612.083,191834158745.2773,70626705745.71164,25702149119.76824,12572626213.10912,7975871576.061413,6484669575.26816,5337453769.418297,4616481386.672118,4281513724.105437,3879859881.225178,3404249994.926779,2654338395.738395,2177321522.201438
23,961244616,2919875537330.085,259680970549.7822,65568856091.91032,19375600190.00787,9927654123.797142,7262321043.843681,6247895745.188894,5039078754.523151,4109194438.176786,3277666062.533061,2793758516.486906,2425082141.674156,1789669719.447786,1487688213.567036
24,962244653,1331500567492.099,211613167200.7057,60000952844.0471,23850906356.42821,13533047795.38174,9191450912.866291,6463661134.433647,5290794033.564787,4083987357.925174,3390874824.494193,2668547883.703025,2313682622.875763,1939713801.095065,1592104799.766237
25,963244690,1903553677464.65,230015330184.0206,58080845051.76926,15733198763.31307,10525969367.2193,7734729448.933826,6835485536.355157,5605214623.444093,5075365261.756746,4582698644.093965,4205239684.086552,3694901486.984035,3315097996.137766,3000274207.082572
