==============================================================================================================
DETAILED PER-RUN LOG   GSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [1 2 3 4 5 6 7 8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-22_10.31.34
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    1.2830049344170121e+06   nan                      3000000       max_evaluations         574.0693  
2      1023243728    6.6961684406274150e+05   nan                      3000000       max_evaluations         583.4023  
3      1024243765    1.9183920315301970e+06   nan                      3000000       max_evaluations         571.8470  
4      1025243802    1.6195241707162845e+06   nan                      3000000       max_evaluations         595.4732  
5      1026243839    2.6470917098401925e+06   nan                      3000000       max_evaluations         587.1816  
6      1027243876    7.5899745068382728e+05   nan                      3000000       max_evaluations         577.1267  
7      1028243913    4.2030406729178531e+06   nan                      3000000       max_evaluations         594.1791  
8      1029243950    6.0164497420970285e+06   nan                      3000000       max_evaluations         581.3031  
9      1030243987    3.4568771877711333e+07   nan                      3000000       max_evaluations         589.3228  
10     1031244024    5.0924455971851656e+06   nan                      3000000       max_evaluations         577.9109  
11     1032244061    1.9032489470544332e+06   nan                      3000000       max_evaluations         560.9385  
12     1033244098    1.1816845587610325e+06   nan                      3000000       max_evaluations         571.6457  
13     1034244135    9.2072388396553462e+05   nan                      3000000       max_evaluations         559.6491  
14     1035244172    1.6551009918072011e+07   nan                      3000000       max_evaluations         613.6489  
15     1036244209    1.6820894937111365e+06   nan                      3000000       max_evaluations         633.6304  
16     1037244246    1.2626082343594660e+06   nan                      3000000       max_evaluations         625.7979  
17     1038244283    2.1230693844613787e+06   nan                      3000000       max_evaluations         617.9008  
18     1039244320    2.3766826743593956e+06   nan                      3000000       max_evaluations         623.1334  
19     1040244357    1.6641390268561358e+06   nan                      3000000       max_evaluations         625.9892  
20     1041244394    1.7426367186710869e+06   nan                      3000000       max_evaluations         634.5619  
21     1042244431    7.9198605498850357e+05   nan                      3000000       max_evaluations         618.9497  
22     1043244468    1.0044807326519297e+07   nan                      3000000       max_evaluations         622.4344  
23     1044244505    2.3848284809129164e+06   nan                      3000000       max_evaluations         611.9214  
24     1045244542    1.5551902130571047e+06   nan                      3000000       max_evaluations         621.1225  
25     1046244579    9.6945466191305418e+05   nan                      3000000       max_evaluations         623.0986  

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    2.1882023416327353e+04   nan                      3000000       max_evaluations         1003.5324 
2      1024243761    2.1403015313390762e+04   nan                      3000000       max_evaluations         951.2547  
3      1025243798    2.1407110434359794e+04   nan                      3000000       max_evaluations         951.4769  
4      1026243835    2.3145227925995983e+04   nan                      3000000       max_evaluations         963.7442  
5      1027243872    2.1190141841638364e+04   nan                      3000000       max_evaluations         948.1346  
6      1028243909    2.1032821012361328e+04   nan                      3000000       max_evaluations         981.7525  
7      1029243946    2.0746950917474602e+04   nan                      3000000       max_evaluations         976.2777  
8      1030243983    2.1881712079788340e+04   nan                      3000000       max_evaluations         934.9140  
9      1031244020    2.2562257451991612e+04   nan                      3000000       max_evaluations         948.3559  
10     1032244057    2.2760282771391325e+04   nan                      3000000       max_evaluations         976.8259  
11     1033244094    2.1717123314699991e+04   nan                      3000000       max_evaluations         950.5376  
12     1034244131    2.1402660002927900e+04   nan                      3000000       max_evaluations         999.6206  
13     1035244168    2.0522565382141838e+04   nan                      3000000       max_evaluations         973.1027  
14     1036244205    2.0929058267306165e+04   nan                      3000000       max_evaluations         997.8018  
15     1037244242    2.1448513206707667e+04   nan                      3000000       max_evaluations         997.3724  
16     1038244279    2.1809696317055459e+04   nan                      3000000       max_evaluations         999.3651  
17     1039244316    2.1518627120315541e+04   nan                      3000000       max_evaluations         1000.9962 
18     1040244353    2.1831374617238482e+04   nan                      3000000       max_evaluations         1004.2287 
19     1041244390    2.1770005353837274e+04   nan                      3000000       max_evaluations         1003.2674 
20     1042244427    2.1397325902947076e+04   nan                      3000000       max_evaluations         1008.5852 
21     1043244464    2.0052059424870742e+04   nan                      3000000       max_evaluations         970.7174  
22     1044244501    2.1179027329777608e+04   nan                      3000000       max_evaluations         963.4610  
23     1045244538    2.1685075006350849e+04   nan                      3000000       max_evaluations         953.1699  
