==============================================================================================================
DETAILED PER-RUN LOG   GSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-22_09.32.02
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.4528773672415841e+09   nan                      3000000       max_evaluations         1158.3319 
2      940243839     3.3713936081124973e+09   nan                      3000000       max_evaluations         1046.1485 
3      941243876     2.1523412381397500e+09   nan                      3000000       max_evaluations         1043.3718 
4      942243913     2.7442659538162904e+09   nan                      3000000       max_evaluations         1155.6751 
5      943243950     2.0864194059845142e+09   nan                      3000000       max_evaluations         1046.8674 
6      944243987     3.3279710342597132e+09   nan                      3000000       max_evaluations         1043.8752 
7      945244024     2.0189526239410636e+09   nan                      3000000       max_evaluations         1047.9449 
8      946244061     1.4522491974448800e+09   nan                      3000000       max_evaluations         1055.4266 
9      947244098     1.6633849928004313e+09   nan                      3000000       max_evaluations         1152.7211 
10     948244135     1.5697525008521385e+09   nan                      3000000       max_evaluations         1156.1247 
11     949244172     2.1817246230891738e+09   nan                      3000000       max_evaluations         1152.2659 
12     950244209     1.3755589540047488e+09   nan                      3000000       max_evaluations         1180.0457 
13     951244246     1.9424353481867137e+09   nan                      3000000       max_evaluations         1153.7394 
14     952244283     1.9880879371675601e+09   nan                      3000000       max_evaluations         1017.5710 
15     953244320     2.5670274292417116e+09   nan                      3000000       max_evaluations         1018.2671 
16     954244357     2.7494747046590509e+09   nan                      3000000       max_evaluations         1016.1481 
17     955244394     1.8195842197668831e+09   nan                      3000000       max_evaluations         1021.1689 
18     956244431     2.2675821648663774e+09   nan                      3000000       max_evaluations         1019.9316 
19     957244468     1.4521484492442307e+09   nan                      3000000       max_evaluations         1016.6875 
20     958244505     1.6991977676651363e+09   nan                      3000000       max_evaluations         1069.0051 
21     959244542     1.3226613165385492e+09   nan                      3000000       max_evaluations         1070.3751 
22     960244579     2.1773215222014380e+09   nan                      3000000       max_evaluations         1067.8351 
23     961244616     1.4876882135670362e+09   nan                      3000000       max_evaluations         1066.8049 
24     962244653     1.5921047997662373e+09   nan                      3000000       max_evaluations         1066.5521 
25     963244690     3.0002742070825720e+09   nan                      3000000       max_evaluations         1065.7376 

