==============================================================================================================
DETAILED PER-RUN LOG   GSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-22_10.31.33
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.4528773672415841e+09   nan                      3000000       max_evaluations         1158.3319 
2      940243839     3.3713936081124973e+09   nan                      3000000       max_evaluations         1046.1485 
3      941243876     2.1523412381397500e+09   nan                      3000000       max_evaluations         1043.3718 
4      942243913     2.7442659538162904e+09   nan                      3000000       max_evaluations         1155.6751 
5      943243950     2.0864194059845142e+09   nan                      3000000       max_evaluations         1046.8674 
6      944243987     3.3279710342597132e+09   nan                      3000000       max_evaluations         1043.8752 
7      945244024     2.0189526239410636e+09   nan                      3000000       max_evaluations         1047.9449 
8      946244061     1.4522491974448800e+09   nan                      3000000       max_evaluations         1055.4266 
9      947244098     1.6633849928004313e+09   nan                      3000000       max_evaluations         1152.7211 
10     948244135     1.5697525008521385e+09   nan                      3000000       max_evaluations         1156.1247 
11     949244172     2.1817246230891738e+09   nan                      3000000       max_evaluations         1152.2659 
12     950244209     1.3755589540047488e+09   nan                      3000000       max_evaluations         1180.0457 
13     951244246     1.9424353481867137e+09   nan                      3000000       max_evaluations         1153.7394 
14     952244283     1.9880879371675601e+09   nan                      3000000       max_evaluations         1017.5710 
15     953244320     2.5670274292417116e+09   nan                      3000000       max_evaluations         1018.2671 
16     954244357     2.7494747046590509e+09   nan                      3000000       max_evaluations         1016.1481 
17     955244394     1.8195842197668831e+09   nan                      3000000       max_evaluations         1021.1689 
18     956244431     2.2675821648663774e+09   nan                      3000000       max_evaluations         1019.9316 
19     957244468     1.4521484492442307e+09   nan                      3000000       max_evaluations         1016.6875 
20     958244505     1.6991977676651363e+09   nan                      3000000       max_evaluations         1069.0051 
21     959244542     1.3226613165385492e+09   nan                      3000000       max_evaluations         1070.3751 
22     960244579     2.1773215222014380e+09   nan                      3000000       max_evaluations         1067.8351 
23     961244616     1.4876882135670362e+09   nan                      3000000       max_evaluations         1066.8049 
24     962244653     1.5921047997662373e+09   nan                      3000000       max_evaluations         1066.5521 
25     963244690     3.0002742070825720e+09   nan                      3000000       max_evaluations         1065.7376 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     5.7519477435342188e+09   nan                      3000000       max_evaluations         1071.1841 
2      941243872     1.2303045702328068e+10   nan                      3000000       max_evaluations         1102.4026 
3      942243909     9.5509559218243637e+09   nan                      3000000       max_evaluations         1110.1386 
4      943243946     2.3184738527883472e+09   nan                      3000000       max_evaluations         1102.2596 
5      944243983     1.0801983928253145e+10   nan                      3000000       max_evaluations         1104.6824 
6      945244020     4.8431003630750561e+09   nan                      3000000       max_evaluations         1104.0490 
7      946244057     1.9122863953091843e+10   nan                      3000000       max_evaluations         1111.6537 
8      947244094     2.9740518209055000e+10   nan                      3000000       max_evaluations         1075.7812 
9      948244131     1.4010859120445578e+10   nan                      3000000       max_evaluations         1082.5402 
10     949244168     1.4945233130120476e+10   nan                      3000000       max_evaluations         1073.0842 
11     950244205     9.1084316639593773e+09   nan                      3000000       max_evaluations         1068.7658 
12     951244242     5.4748635050833673e+09   nan                      3000000       max_evaluations         1069.3747 
13     952244279     9.6145048728489819e+09   nan                      3000000       max_evaluations         1070.9293 
14     953244316     9.4002176786909447e+09   nan                      3000000       max_evaluations         1118.0953 
15     954244353     2.0327822651055679e+10   nan                      3000000       max_evaluations         1119.8921 
16     955244390     3.9614909708336515e+09   nan                      3000000       max_evaluations         1110.2152 
17     956244427     2.3006816922766781e+09   nan                      3000000       max_evaluations         1121.3692 
18     957244464     5.7772697668275976e+09   nan                      3000000       max_evaluations         1113.8944 
19     958244501     1.6345574386049007e+10   nan                      3000000       max_evaluations         1112.8685 
20     959244538     1.1540932198741444e+10   nan                      3000000       max_evaluations         1107.7050 
21     960244575     2.2534535727489521e+10   nan                      3000000       max_evaluations         1073.9475 
22     961244612     4.4335630298873262e+09   nan                      3000000       max_evaluations         1070.6870 
23     962244649     3.9188184176053672e+09   nan                      3000000       max_evaluations         1074.0729 
24     963244686     3.4555551221326265e+09   nan                      3000000       max_evaluations         1070.9557 
25     964244723     6.3898187432577963e+09   nan                      3000000       max_evaluations         1068.9760 

