Function,Best,Median,Mean,Worst,SD
1,6.6961684406E+05,1.7426367187E+06,4.2372597844E+06,3.4568771878E+07,7.2246024779E+06
2,2.0052059425E+04,2.1518627120E+04,2.1622313612E+04,2.3145227926E+04,7.2955335630E+02
3,2.1569111692E+01,2.1590452426E+01,2.1589054425E+01,2.1598726467E+01,8.0619230106E-03
4,1.2950724000E+10,2.8829373273E+10,3.3428671381E+10,7.7673411368E+10,1.5075705724E+10
5,1.3236164246E+06,1.8228173185E+06,1.8154134286E+06,2.2422033262E+06,2.6585903334E+05
6,1.0561045633E+06,1.0603639010E+06,1.0604915802E+06,1.0626899631E+06,1.3487076764E+03
7,9.4212429053E+06,2.8117703693E+07,3.0463386248E+07,9.8602873231E+07,1.8495886919E+07
8,2.7129781392E+11,6.9788682298E+12,9.6930595399E+12,3.3502318189E+13,8.8967320853E+12
9,1.5575363302E+08,1.9085151548E+08,1.9778119093E+08,2.5289132994E+08,2.2766264268E+07
10,9.3350962604E+07,9.4045003345E+07,9.4011691791E+07,9.4426462148E+07,2.8426363924E+05
11,2.7246373061E+08,4.2451767922E+08,4.5084884270E+08,7.6714864733E+08,1.4662031608E+08
12,2.8987558624E+08,1.7023806210E+09,2.2168842126E+09,7.9845625906E+09,1.9184568524E+09
15,3.5406578973E+06,4.1934029583E+06,4.6182821639E+06,9.2592789879E+06,1.1680073584E+06
