Eval,BestError,Log10Error
100,8.2591602855205838e+02,2.9169358945476267e+00
200,8.2591602855205838e+02,2.9169358945476267e+00
300,8.2591602855205838e+02,2.9169358945476267e+00
400,8.2591602855205838e+02,2.9169358945476267e+00
500,7.7721975032922842e+02,2.8905438281475284e+00
600,7.7721975032922842e+02,2.8905438281475284e+00
700,7.7721975032922842e+02,2.8905438281475284e+00
800,7.7721975032922842e+02,2.8905438281475284e+00
900,5.9907922169615722e+02,2.7774842568976732e+00
1000,5.9907922169615722e+02,2.7774842568976732e+00
1100,5.9907922169615722e+02,2.7774842568976732e+00
1200,5.9907922169615722e+02,2.7774842568976732e+00
1300,5.9907922169615722e+02,2.7774842568976732e+00
1400,5.9907922169615722e+02,2.7774842568976732e+00
1500,5.9907922169615722e+02,2.7774842568976732e+00
1600,5.9907922169615722e+02,2.7774842568976732e+00
1700,5.9907922169615722e+02,2.7774842568976732e+00
1800,5.9907922169615722e+02,2.7774842568976732e+00
1900,5.9907922169615722e+02,2.7774842568976732e+00
2000,5.9907922169615722e+02,2.7774842568976732e+00
2100,5.9907922169615722e+02,2.7774842568976732e+00
2200,5.9907922169615722e+02,2.7774842568976732e+00
2300,4.8151541571314300e+02,2.6826101956183557e+00
2400,4.8151541571314300e+02,2.6826101956183557e+00
2500,4.8151541571314300e+02,2.6826101956183557e+00
2600,4.8151541571314300e+02,2.6826101956183557e+00
2700,4.8151541571314300e+02,2.6826101956183557e+00
2800,4.8151541571314300e+02,2.6826101956183557e+00
2900,4.8151541571314300e+02,2.6826101956183557e+00
3000,4.8151541571314300e+02,2.6826101956183557e+00
3100,4.8151541571314300e+02,2.6826101956183557e+00
3200,4.8151541571314300e+02,2.6826101956183557e+00
3300,4.8151541571314300e+02,2.6826101956183557e+00
3400,4.8151541571314300e+02,2.6826101956183557e+00
3500,4.8151541571314300e+02,2.6826101956183557e+00
3600,4.8151541571314300e+02,2.6826101956183557e+00
3700,4.8151541571314300e+02,2.6826101956183557e+00
3800,4.8151541571314300e+02,2.6826101956183557e+00
3900,4.8151541571314300e+02,2.6826101956183557e+00
4000,4.8151541571314300e+02,2.6826101956183557e+00
