Run,Seed,E100000,E200000,E300000,E500000,E1000000,E2000000,E3000000,E4000000,E5000000,E6000000,E7000000,E8000000,E9000000,E10000000
1,43240784,3571.904748803483,3548.029842105083,3548.029842105083,3501.93440577593,3005.634540857682,2753.179669068992,2587.545185505986,15.401232166263,15.4012321662613,15.4012321662613,15.4012321662613,15.4012321662613,15.4012321662613,15.4012321662613
2,44240821,3783.0503257767,3783.0503257767,3783.0503257767,3434.889105222521,2889.456034309836,2889.456034309836,2695.577905584443,2695.577905584443,2245.349075730244,2245.349075730244,2241.34108412258,1253.886070251978,6.9863342812732,6.9863342812714
3,45240858,3925.517534681327,3925.517534681327,3427.65852253521,3156.771715018235,3156.771715018235,2984.006744928969,2981.323468594839,2075.53375612967,11.1625547659278,11.1625547659278,11.1625547659278,11.1625547659278,11.1625547659278,11.1625547659278
4,46240895,3709.385787780817,3523.026249164372,3523.026249164372,3308.90387363228,3250.324732362276,2947.663130728923,2947.663130728923,2947.663130728923,2947.663130728923,57.6785313220807,14.4527369306106,14.4527369306106,14.4527369306106,14.4527369306106
5,47240932,3694.520811983292,3206.292084186284,3206.292084186284,3206.292084186284,3145.307080157194,3012.247243261633,2799.526046230808,2548.689089876299,2548.689089876299,2511.121903584767,2511.121903584767,2511.121903584767,2511.121903584767,2511.121903584767
6,48240969,3781.537640992531,3360.783129032553,3360.783129032553,3360.783129032553,3360.783129032553,3079.070554632969,2911.357193944604,18.5352720417486,18.5352720417486,18.5352720417486,18.5352720417486,18.5352720417486,18.5352720417486,18.5352720417486
7,49241006,3904.995559069447,3606.256828278231,3411.490704386304,3411.490704386304,2907.849175213299,2907.849175213299,2646.623801276149,424.2854692786514,424.2854692786505,424.2854692786505,424.2854692786505,424.2854692786495,424.2854692786495,424.2854692786495
8,50241043,3671.205441860191,3671.205441860191,3641.413632315374,3210.839682127916,3092.7339521964,2859.456678002512,2859.456678002512,373.2445615460501,373.2442508625336,373.2442508625336,373.2442508625336,373.2442508625336,373.2442508625336,373.2442508625336
9,51241080,3960.567465567425,3960.567465567425,3473.50370962135,3473.50370962135,3141.447071709041,3141.447071709041,2790.886821823821,2722.496449044533,2722.496449044533,2517.759347591179,2459.224572695832,2039.470138462822,1257.304663057968,9.548692141425001
10,52241117,3595.258681665387,3595.258681665387,3595.258681665387,3568.439345700845,2900.244433869855,2886.622020997136,2129.188551910558,2129.188551910558,2129.188551910558,235.6124845166432,235.6124845166432,235.6124845166432,235.6124845166432,235.6124845166432
11,53241154,3728.207864704897,3720.293969842452,3720.293969842452,3628.852974568391,3166.656465539358,2893.518947189948,2781.189459119465,17.774147553133,17.7741475531311,17.7741475531311,17.7741475531311,17.7741475531311,17.7741475531311,17.7741475531311
12,54241191,4203.630390576953,3978.77602831891,3747.604371202598,3724.44417332883,3228.210733946846,3152.814430726722,2878.569870794998,2641.373983636418,226.1472506141108,226.147250614109,226.147250614109,226.147250614109,226.147250614109,226.147250614109
13,55241228,3607.071551758143,3607.071551758143,3546.885122145428,2511.830870895129,2511.830870895129,2511.830870895129,2489.019041690844,2489.019041690844,18.6601858731046,18.6601858731046,18.6601858731046,18.6601858731028,18.6601858731028,18.6601858731028
14,56241265,3515.397078931459,3515.397078931459,3515.397078931459,3278.086667564426,3278.086667564426,2800.750348376654,2659.892185366401,2659.892185366401,2082.75449760881,2082.75449760881,233.6136532634482,233.6136532634482,233.6136532634482,233.6136532634482
15,57241302,3917.612562415302,3702.435349348349,3702.435349348349,3430.921234214415,2919.627529360176,2919.627529360176,2460.641132424018,2460.641132424018,136.9736066561873,136.9736066561873,136.9736066561854,136.9736066561854,136.9736066561854,136.9736066561854
16,58241339,3845.681377850318,3738.486614338622,3027.214947167988,3027.214947167988,3027.214947167988,3027.214947167988,2985.395240077652,2728.497570366349,2582.357178804195,1891.0746898667,16.0665995551135,16.0665995551135,16.0665995551135,16.0665995551135
17,59241376,3701.358812400272,3701.358812400272,3303.261434473413,3288.96081127764,3036.917239177733,2832.820987158782,2832.820987158782,2776.775469097882,2235.797371700269,23.5350739329242,23.5350739329242,23.5350739329242,23.5350739329242,23.5350739329242
18,60241413,3629.903959932161,3482.49959420461,3482.49959420461,3482.49959420461,3103.813979509487,2579.648518983849,2579.648518983849,2550.383567521957,2374.18236210933,22.7427209842444,22.7427209842426,22.7427209842426,22.7427209842426,22.7427209842426
19,61241450,3745.941623908623,3745.941623908623,3745.941623908623,3421.719541873229,3000.742738467338,3000.742738467338,2939.884114000232,2591.138369664689,2591.138369664689,2591.138369664689,2591.138369664689,245.782647316385,245.782647316384,245.782647316384
20,62241487,3918.31666817013,3808.739492502373,3550.552964111652,3296.73198989044,2980.946962600947,2933.921249783411,2726.166584234506,2457.13483861052,2457.13483861052,2457.13483861052,2457.13483861052,2457.13483861052,2457.13483861052,2136.247698497415
21,63241524,3795.347678667299,3457.47424678633,3457.47424678633,3236.980843247172,3236.980843247172,3198.313829147746,2661.058288744394,18.566500499588,18.566500499588,18.566500499588,18.5665004995863,18.5665004995863,18.5665004995863,18.5665004995863
22,64241561,4045.98217036485,3920.846450959589,3671.711516212536,3493.150944507541,3069.281074153732,2576.719274982596,1726.205971377529,134.1455242069042,134.1455242069042,134.1455242069042,134.1455242069042,134.1455242069042,134.1455242069042,134.1455242069042
23,65241598,4028.070825705913,3551.033951705525,3551.033951705525,3551.033951705525,3069.294466144232,3069.294466144232,2887.801870323617,2849.195374698202,2759.698779360474,2759.698779360474,2497.330757278323,2468.10638071543,2466.985420648335,2466.985420648335
24,66241635,3644.534111498702,3644.534111498702,3644.534111498702,3644.534111498702,3241.908340860765,2836.174992834384,2836.174992834384,2303.198434979689,2303.198434979689,11.0376409345718,11.0376409345718,11.03764093457,11.03764093457,11.03764093457
25,67241672,3488.095881289711,3488.095881289711,3174.905521622913,3174.905521622913,3174.905521622913,3127.677114081831,2819.498773795428,2730.311968655322,234.5621484991007,234.5621484990988,234.5621484990988,234.5621484990988,234.5621484990988,234.5621484990988
26,68241709,3550.951223463127,3308.398710879529,3308.398710879529,3308.398710879529,3308.398710879529,2933.918954387089,2612.919220842443,2612.919220842443,1591.972426814847,10.9751840188928,10.9751840188928,10.9751840188928,10.9751840188928,10.9751840188928
27,69241746,4008.838109428931,3635.877064321528,3635.877064321528,3120.579297240546,3120.579297240546,2739.876063753507,2735.795339723772,2592.593035473804,406.9152199511773,406.9152199511773,406.9152199511773,406.9152199511773,406.9152199511773,406.9152199511773
28,70241783,4068.198314775848,4009.035055884137,3821.031235648021,3624.651784712567,3487.826939147575,3047.328062016475,2780.59077022876,2277.501829740856,454.3389541104016,454.3389541104016,454.3389541104016,454.3389541104016,454.3389541104016,454.3389541104007
29,71241820,3943.845267933535,3701.197967024511,3648.770888658601,3442.727829508431,3298.23079645222,2958.803884582887,2958.803884582887,2381.319908896893,2381.319908896893,142.5291936340527,142.5291936340527,142.5291936340527,142.5291936340527,142.5291936340527
30,72241857,3617.44309884077,3492.584505183099,3492.584505183099,3492.584505183099,3443.109847528284,3107.328681441849,2957.815288823397,2197.908929640131,97.31955171654231,30.6505060607815,30.6505060607815,30.6505060607815,30.6505060607815,30.6505060607815
