==============================================================================================================
DETAILED PER-RUN LOG   GSK   CEC2020   D15
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_01.14.38
==============================================================================================================

----- F1  D15  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      37240736      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.3033   
2      38240773      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.2776   
3      39240810      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.4506   
4      40240847      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.4485   
5      41240884      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.5902   
6      42240921      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.5998   
7      43240958      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.6335   
8      44240995      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         18.0249   
9      45241032      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.8004   
10     46241069      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.9392   
11     47241106      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.6314   
12     48241143      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.6711   
13     49241180      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.1425   
14     50241217      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.0795   
15     51241254      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.1643   
16     52241291      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.2479   
17     53241328      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.7358   
18     54241365      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.4297   
19     55241402      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.5755   
20     56241439      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.1726   
21     57241476      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.8335   
22     58241513      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.5024   
23     59241550      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.8893   
24     60241587      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         18.0019   
25     61241624      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.7605   
26     62241661      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.4736   
27     63241698      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.4893   
28     64241735      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         17.3473   
29     65241772      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         7.5407    
30     66241809      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         7.4356    

