==============================================================================================================
DETAILED PER-RUN LOG   GSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_01.14.38
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4385    
2      28240743      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4640    
3      29240780      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4372    
4      30240817      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4706    
5      31240854      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4204    
6      32240891      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4569    
7      33240928      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4744    
8      34240965      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4675    
9      35241002      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4031    
10     36241039      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4693    
11     37241076      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4019    
12     38241113      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4450    
13     39241150      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3824    
14     40241187      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4294    
15     41241224      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4020    
16     42241261      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4195    
17     43241298      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3968    
18     44241335      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4286    
19     45241372      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4193    
20     46241409      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3603    
21     47241446      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3734    
22     48241483      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3306    
23     49241520      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3458    
24     50241557      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3277    
25     51241594      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3034    
26     52241631      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3264    
27     53241668      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.3262    
28     54241705      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.2993    
29     55241742      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.2959    
30     56241779      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.2628    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1825016802714349e+03   8.2501680271435006e+01   50000         max_evaluations         0.3168    
