Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,6.9863342813E+00,8.2398015134E+01,3.5362002691E+02,2.5111219036E+03,7.0057929771E+02
3,2.2642617687E+01,2.4806728913E+01,2.6019780320E+01,5.9426761921E+01,6.4258411467E+00
4,1.0545066375E+00,4.9088108749E+00,4.3115965929E+00,5.7182179969E+00,1.3834717291E+00
5,4.1634094556E-01,1.2111747830E+02,1.0545985558E+02,2.5857391544E+02,8.9864094289E+01
6,4.8166552420E-01,8.3599865670E-01,1.1498624363E+00,7.0239404021E+00,1.1880317720E+00
7,2.0357040933E-01,9.0514060051E+00,2.6897443610E+01,1.5451678399E+02,4.6282649291E+01
8,1.0000000000E+02,1.0115551181E+02,1.0090033998E+02,1.0282019386E+02,8.8147679320E-01
9,3.0000000000E+02,3.8062271521E+02,3.5862849928E+02,4.0535999300E+02,4.4356976564E+01
10,3.9924984381E+02,4.1371027197E+02,4.1476835614E+02,4.5331570293E+02,1.0930498054E+01
