Eval,BestError,Log10Error
100,5.9158302773355303e+09,9.7720157057788821e+00
200,4.6182191891808710e+09,9.6644745414855961e+00
300,4.5598412213771000e+09,9.6589497203222567e+00
400,3.9391344676673746e+09,9.5954008062900176e+00
500,3.4110947346058917e+09,9.5328937810155061e+00
600,3.3322383853205075e+09,9.5227360628806004e+00
700,2.9157487820571208e+09,9.4647501028879475e+00
800,2.9157487820571208e+09,9.4647501028879475e+00
900,2.7071636627133341e+09,9.4325145120190221e+00
1000,2.5400533871709666e+09,9.4048428447735173e+00
1100,2.5400533871709666e+09,9.4048428447735173e+00
1200,2.4386659636346927e+09,9.3871523168839435e+00
1300,2.3174968062963538e+09,9.3650191443229751e+00
1400,2.0855901478188720e+09,9.3192289665885397e+00
1500,2.0822272914840887e+09,9.3185281344202249e+00
1600,1.9822666495948837e+09,9.2971620742957981e+00
1700,1.8812640269094975e+09,9.2744497510969524e+00
1800,1.7690727978314743e+09,9.2477457046146405e+00
1900,1.7690727978314743e+09,9.2477457046146405e+00
2000,1.7655019987388308e+09,9.2468682135676250e+00
2100,1.6794858411673238e+09,9.2251763468922885e+00
2200,1.6623211055424855e+09,9.2207149189037807e+00
2300,1.6623211055424855e+09,9.2207149189037807e+00
2400,1.5480511293075299e+09,9.1897853005390058e+00
2500,1.5480511293075299e+09,9.1897853005390058e+00
2600,1.5480511293075299e+09,9.1897853005390058e+00
2700,1.5463201464642968e+09,9.1892994141934441e+00
2800,1.5463201464642968e+09,9.1892994141934441e+00
2900,1.4078520086245494e+09,9.1485570047949487e+00
3000,1.4078520086245494e+09,9.1485570047949487e+00
3100,1.4078520086245494e+09,9.1485570047949487e+00
3200,1.4078520086245494e+09,9.1485570047949487e+00
3300,1.4019661609877748e+09,9.1467375312671315e+00
3400,1.4019661609877748e+09,9.1467375312671315e+00
3500,1.4019661609877748e+09,9.1467375312671315e+00
3600,1.3617844131786091e+09,9.1341083589881169e+00
3700,1.3605227162491674e+09,9.1337057974640317e+00
3800,1.2002398233718243e+09,9.0792680323481836e+00
3900,1.2002398233718243e+09,9.0792680323481836e+00
4000,1.1984308949246659e+09,9.0786129963853917e+00
4100,1.1984308949246659e+09,9.0786129963853917e+00
4200,1.1984308949246659e+09,9.0786129963853917e+00
4300,1.1583739084557173e+09,9.0638487667904677e+00
4400,1.1549782559103384e+09,9.0625738081008507e+00
4500,1.1549782559103384e+09,9.0625738081008507e+00
4600,1.1514939372001090e+09,9.0612616556763079e+00
4700,1.1217835436247146e+09,9.0499090646934661e+00
4800,1.1217835436247146e+09,9.0499090646934661e+00
4900,1.1217835436247146e+09,9.0499090646934661e+00
5000,1.1149099419416187e+09,9.0472397881936786e+00
5100,1.0888823717754283e+09,9.0369809669476648e+00
5200,1.0888823717754283e+09,9.0369809669476648e+00
