==============================================================================================================
DETAILED PER-RUN LOG   MOS-CEC2013LSGO   CEC2013LSGO   D1000
runs per function : 25
functions         : [1]
statistics basis  : raw objective
generated         : 2026-07-26_13.56.58
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    1.5682009996776320e-22   nan                      3000000       max_evaluations         514.5275  
2      1023243728    9.5617673753889493e-23   nan                      3000000       max_evaluations         518.9652  
3      1024243765    2.4894617014665405e-22   nan                      3000000       max_evaluations         474.1394  
4      1025243802    1.1585713608337559e-22   nan                      3000000       max_evaluations         513.5493  
5      1026243839    1.2525274880930399e-22   nan                      3000000       max_evaluations         517.6906  
6      1027243876    6.4586019353561596e-23   nan                      3000000       max_evaluations         499.7182  
7      1028243913    9.1639123427117497e-23   nan                      3000000       max_evaluations         523.8941  
8      1029243950    9.9958107986740687e-23   nan                      3000000       max_evaluations         521.1987  
9      1030243987    1.0086831701942280e-22   nan                      3000000       max_evaluations         503.2556  
10     1031244024    9.9620901076874329e-23   nan                      3000000       max_evaluations         516.6056  
11     1032244061    1.0214946794518628e-22   nan                      3000000       max_evaluations         513.2001  
12     1033244098    1.5513135037172122e-22   nan                      3000000       max_evaluations         502.5251  
13     1034244135    1.1813671752549007e-22   nan                      3000000       max_evaluations         513.3092  
14     1035244172    1.3967181433802892e-22   nan                      3000000       max_evaluations         599.6024  
15     1036244209    8.2307043967600805e-23   nan                      3000000       max_evaluations         604.7667  
16     1037244246    1.4679655219190317e-22   nan                      3000000       max_evaluations         579.9637  
17     1038244283    1.0499352964184520e-22   nan                      3000000       max_evaluations         605.2662  
18     1039244320    1.3685204190289796e-22   nan                      3000000       max_evaluations         572.5049  
19     1040244357    1.3965488632733768e-22   nan                      3000000       max_evaluations         604.7354  
20     1041244394    8.5881065960421737e-23   nan                      3000000       max_evaluations         607.4710  
21     1042244431    1.3538818956721036e-22   nan                      3000000       max_evaluations         601.1044  
22     1043244468    9.3630652527086598e-23   nan                      3000000       max_evaluations         573.2152  
23     1044244505    1.6800971387894255e-22   nan                      3000000       max_evaluations         595.4921  
24     1045244542    6.9034320645590911e-23   nan                      3000000       max_evaluations         601.9276  
25     1046244579    1.1494078562920264e-22   nan                      3000000       max_evaluations         604.1767  

