==============================================================================================================
DETAILED PER-RUN LOG   MOS-CEC2013LSGO   CEC2013LSGO   D1000
runs per function : 25
functions         : [2 3 4 5 6 7 8 9 10 11 12]
statistics basis  : raw objective
generated         : 2026-07-26_20.18.00
==============================================================================================================

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    8.7269661374536031e+02   nan                      3000000       max_evaluations         640.3443  
2      1024243761    8.1696228658391408e+02   nan                      3000000       max_evaluations         642.6827  
3      1025243798    8.3607817325303290e+02   nan                      3000000       max_evaluations         632.0620  
4      1026243835    8.1712965165841115e+02   nan                      3000000       max_evaluations         633.2278  
5      1027243872    9.2099120628291223e+02   nan                      3000000       max_evaluations         643.5977  
6      1028243909    8.1928378197505640e+02   nan                      3000000       max_evaluations         642.8955  
7      1029243946    8.2187633746446602e+02   nan                      3000000       max_evaluations         642.4490  
8      1030243983    8.0180508116841531e+02   nan                      3000000       max_evaluations         638.6984  
9      1031244020    8.3221927289943346e+02   nan                      3000000       max_evaluations         637.0791  
10     1032244057    7.9883813669394021e+02   nan                      3000000       max_evaluations         639.6737  
11     1033244094    9.1115736533630377e+02   nan                      3000000       max_evaluations         632.8193  
12     1034244131    8.2744916024538702e+02   nan                      3000000       max_evaluations         632.6668  
13     1035244168    8.5805834440230490e+02   nan                      3000000       max_evaluations         638.9905  
14     1036244205    7.7673317917433326e+02   nan                      3000000       max_evaluations         660.6610  
15     1037244242    8.1802948337538623e+02   nan                      3000000       max_evaluations         654.9928  
16     1038244279    7.8949370710694734e+02   nan                      3000000       max_evaluations         648.9832  
17     1039244316    7.4846893991999468e+02   nan                      3000000       max_evaluations         650.0608  
18     1040244353    7.7710197261497126e+02   nan                      3000000       max_evaluations         664.1907  
19     1041244390    9.1601755257500929e+02   nan                      3000000       max_evaluations         655.0822  
20     1042244427    8.4276908879445614e+02   nan                      3000000       max_evaluations         650.1695  
21     1043244464    8.4204846746620888e+02   nan                      3000000       max_evaluations         653.6064  
22     1044244501    8.7164667751740944e+02   nan                      3000000       max_evaluations         654.8618  
23     1045244538    7.8432048700247174e+02   nan                      3000000       max_evaluations         656.4507  
24     1046244575    8.3414977224442134e+02   nan                      3000000       max_evaluations         659.2988  
25     1047244612    7.9428485568200097e+02   nan                      3000000       max_evaluations         657.0160  

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.0003219993359551e+01   nan                      3000000       max_evaluations         687.8841  
2      1025243794    2.0004339013577713e+01   nan                      3000000       max_evaluations         678.6445  
3      1026243831    2.0004512563481882e+01   nan                      3000000       max_evaluations         674.4923  
4      1027243868    2.0002417019516230e+01   nan                      3000000       max_evaluations         685.4721  
5      1028243905    2.0003677569887632e+01   nan                      3000000       max_evaluations         676.8141  
6      1029243942    2.0003476055470152e+01   nan                      3000000       max_evaluations         687.1064  
7      1030243979    2.0001627647198795e+01   nan                      3000000       max_evaluations         683.8028  
8      1031244016    2.0002892542672747e+01   nan                      3000000       max_evaluations         681.1869  
9      1032244053    2.0001399606380041e+01   nan                      3000000       max_evaluations         680.6753  
10     1033244090    2.0002831711559175e+01   nan                      3000000       max_evaluations         680.6052  
11     1034244127    2.0002558026166426e+01   nan                      3000000       max_evaluations         689.9854  
12     1035244164    2.0009269482607387e+01   nan                      3000000       max_evaluations         690.8854  
13     1036244201    2.0003377986553332e+01   nan                      3000000       max_evaluations         686.7750  
14     1037244238    2.0003132579021006e+01   nan                      3000000       max_evaluations         660.0248  
15     1038244275    2.0004227738441692e+01   nan                      3000000       max_evaluations         660.9853  
16     1039244312    2.0003004955950708e+01   nan                      3000000       max_evaluations         665.6159  
17     1040244349    2.0003916286122852e+01   nan                      3000000       max_evaluations         663.5547  
18     1041244386    2.0003622816188468e+01   nan                      3000000       max_evaluations         662.4662  
19     1042244423    2.0003090181559543e+01   nan                      3000000       max_evaluations         660.8681  
20     1043244460    2.0001863453780558e+01   nan                      3000000       max_evaluations         663.2704  
21     1044244497    2.0002580211339726e+01   nan                      3000000       max_evaluations         666.0583  
22     1045244534    2.0001981662830897e+01   nan                      3000000       max_evaluations         664.4841  
23     1046244571    2.0003217716345539e+01   nan                      3000000       max_evaluations         665.3607  
24     1047244608    2.0003961599251586e+01   nan                      3000000       max_evaluations         663.1824  
25     1048244645    2.0002814323376050e+01   nan                      3000000       max_evaluations         663.4920  

----- F4  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1025243790    1.8972171900673392e+08   nan                      3000000       max_evaluations         796.3993  
2      1026243827    1.1714718656584682e+08   nan                      3000000       max_evaluations         779.6457  
3      1027243864    1.1951932222758928e+08   nan                      3000000       max_evaluations         784.6929  
4      1028243901    6.9442427961506531e+07   nan                      3000000       max_evaluations         779.8008  
5      1029243938    1.9863342883705732e+08   nan                      3000000       max_evaluations         781.3479  
6      1030243975    1.1455306628148036e+08   nan                      3000000       max_evaluations         782.2875  
7      1031244012    1.1026588093088207e+08   nan                      3000000       max_evaluations         779.9781  
8      1032244049    1.5175990035820758e+08   nan                      3000000       max_evaluations         792.4646  
9      1033244086    9.5700399969653696e+07   nan                      3000000       max_evaluations         791.7175  
10     1034244123    1.0193232248427835e+08   nan                      3000000       max_evaluations         784.6393  
11     1035244160    1.1539239249760737e+08   nan                      3000000       max_evaluations         792.5131  
12     1036244197    1.8280999381451890e+08   nan                      3000000       max_evaluations         789.0286  
13     1037244234    2.0170472312888801e+08   nan                      3000000       max_evaluations         788.9664  
14     1038244271    1.4472277662049484e+08   nan                      3000000       max_evaluations         767.1025  
15     1039244308    1.9634625264857966e+08   nan                      3000000       max_evaluations         771.6899  
16     1040244345    1.1401970101032543e+08   nan                      3000000       max_evaluations         773.7893  
17     1041244382    2.0115015596194080e+08   nan                      3000000       max_evaluations         769.8437  
18     1042244419    1.1872654456113790e+08   nan                      3000000       max_evaluations         768.3724  
19     1043244456    1.4132133770947480e+08   nan                      3000000       max_evaluations         776.2254  
20     1044244493    2.0770229180518857e+08   nan                      3000000       max_evaluations         770.2756  
21     1045244530    2.7930434231366491e+08   nan                      3000000       max_evaluations         772.8966  
22     1046244567    2.3031842264005640e+08   nan                      3000000       max_evaluations         769.9925  
23     1047244604    1.2163351090520342e+08   nan                      3000000       max_evaluations         772.9410  
24     1048244641    1.4213382353978458e+08   nan                      3000000       max_evaluations         770.6071  
25     1049244678    1.6642463832629809e+08   nan                      3000000       max_evaluations         775.0260  

----- F5  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1026243823    4.4215912383717559e+06   nan                      3000000       max_evaluations         867.7551  
2      1027243860    4.2732525500704041e+06   nan                      3000000       max_evaluations         858.5560  
3      1028243897    6.8420053885116056e+06   nan                      3000000       max_evaluations         848.6281  
4      1029243934    5.2843140150130885e+06   nan                      3000000       max_evaluations         863.6140  
5      1030243971    4.9177842091012057e+06   nan                      3000000       max_evaluations         856.9140  
6      1031244008    6.6601268702806672e+06   nan                      3000000       max_evaluations         850.6811  
7      1032244045    5.1009553160730097e+06   nan                      3000000       max_evaluations         847.1020  
8      1033244082    4.3546468675898695e+06   nan                      3000000       max_evaluations         866.3984  
9      1034244119    5.9323366975977644e+06   nan                      3000000       max_evaluations         873.8808  
10     1035244156    5.2351441925463667e+06   nan                      3000000       max_evaluations         860.7907  
11     1036244193    4.9992079403867833e+06   nan                      3000000       max_evaluations         852.4904  
12     1037244230    4.5427952218210436e+06   nan                      3000000       max_evaluations         855.8034  
13     1038244267    4.9973027160691069e+06   nan                      3000000       max_evaluations         852.9501  
