==============================================================================================================
DETAILED PER-RUN LOG   MOS-CEC2013LSGO   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-26_21.11.52
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     4.5430382898137318e+06   nan                      3000000       max_evaluations         987.9402  
2      940243839     3.2463286545293662e+06   nan                      3000000       max_evaluations         994.6558  
3      941243876     2.6053762819817844e+06   nan                      3000000       max_evaluations         979.3552  
4      942243913     2.5966890513594742e+06   nan                      3000000       max_evaluations         973.9547  
5      943243950     2.1610132139198263e+06   nan                      3000000       max_evaluations         986.3749  
6      944243987     2.9103250240975511e+06   nan                      3000000       max_evaluations         990.1097  
7      945244024     1.7683230489951784e+06   nan                      3000000       max_evaluations         970.4459  
8      946244061     1.7956675933076029e+06   nan                      3000000       max_evaluations         976.0238  
9      947244098     5.1079437294534910e+06   nan                      3000000       max_evaluations         976.5133  
10     948244135     2.6449483873392474e+06   nan                      3000000       max_evaluations         988.6559  
11     949244172     1.8610836361664655e+06   nan                      3000000       max_evaluations         985.4862  
12     950244209     3.1385967303772378e+06   nan                      3000000       max_evaluations         981.2086  
13     951244246     1.2757699199294408e+06   nan                      3000000       max_evaluations         989.3407  
14     952244283     3.4166826078027696e+06   nan                      3000000       max_evaluations         947.4209  
15     953244320     4.5917765320533533e+06   nan                      3000000       max_evaluations         944.4543  
16     954244357     2.0380241315600979e+06   nan                      3000000       max_evaluations         944.5344  
17     955244394     3.3161205626716162e+06   nan                      3000000       max_evaluations         941.6402  
18     956244431     4.5997825285023013e+06   nan                      3000000       max_evaluations         947.2916  
19     957244468     1.8838723949549049e+06   nan                      3000000       max_evaluations         950.2024  
20     958244505     3.7494074161392655e+06   nan                      3000000       max_evaluations         948.2753  
21     959244542     1.7696200203925485e+06   nan                      3000000       max_evaluations         949.2164  
22     960244579     3.9551434527706597e+06   nan                      3000000       max_evaluations         950.3709  
23     961244616     1.3370949209924240e+06   nan                      3000000       max_evaluations         947.5370  
24     962244653     2.5869353382191327e+06   nan                      3000000       max_evaluations         949.3895  
25     963244690     1.7420515204454274e+06   nan                      3000000       max_evaluations         950.7668  

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     1.8257491160486758e+07   nan                      3000000       max_evaluations         966.6358  
2      941243872     2.5630416231938750e+07   nan                      3000000       max_evaluations         950.2386  
3      942243909     3.0609181203219466e+07   nan                      3000000       max_evaluations         947.8399  
4      943243946     2.7268266107923590e+07   nan                      3000000       max_evaluations         948.3812  
5      944243983     3.1624900886010539e+07   nan                      3000000       max_evaluations         959.5753  
6      945244020     2.1762552710892800e+07   nan                      3000000       max_evaluations         955.4067  
7      946244057     2.1149451313728500e+07   nan                      3000000       max_evaluations         956.3053  
8      947244094     2.1587907908270933e+07   nan                      3000000       max_evaluations         952.2320  
9      948244131     2.3259800278559115e+07   nan                      3000000       max_evaluations         959.8448  
10     949244168     3.2880872208688285e+07   nan                      3000000       max_evaluations         962.7506  
11     950244205     2.8070110424729429e+07   nan                      3000000       max_evaluations         964.4032  
12     951244242     2.0429028317666113e+07   nan                      3000000       max_evaluations         962.3883  
13     952244279     3.2139953980880644e+07   nan                      3000000       max_evaluations         967.6528  
14     953244316     2.5312557754245609e+07   nan                      3000000       max_evaluations         919.2508  
15     954244353     1.8046315563983839e+07   nan                      3000000       max_evaluations         917.1156  
16     955244390     1.8585081319396727e+07   nan                      3000000       max_evaluations         922.3827  
17     956244427     3.2783956939779565e+07   nan                      3000000       max_evaluations         921.3996  
18     957244464     2.1765317391430121e+07   nan                      3000000       max_evaluations         919.1767  
19     958244501     3.9530298011039652e+07   nan                      3000000       max_evaluations         924.9636  
20     959244538     1.9560033192468889e+07   nan                      3000000       max_evaluations         923.1615  
21     960244575     3.6223758635198802e+07   nan                      3000000       max_evaluations         924.3769  
22     961244612     2.9782118141726140e+07   nan                      3000000       max_evaluations         922.2742  
23     962244649     3.3442570993571907e+07   nan                      3000000       max_evaluations         922.9425  
24     963244686     2.5403406945067372e+07   nan                      3000000       max_evaluations         922.0219  
25     964244723     2.7440388639679782e+07   nan                      3000000       max_evaluations         921.4960  

