Function,Best,Median,Mean,Worst,SD
1,6.4586019354E-23,1.1494078563E-22,1.1966977720E-22,2.4894617015E-22,3.8556940952E-23
2,7.4846893992E+02,8.2187633746E+02,8.2918438381E+02,9.2099120628E+02,4.4101408404E+01
3,2.0001399606E+01,2.0003132579E+01,2.0003320510E+01,2.0009269483E+01,1.4858754436E-03
4,6.9442427962E+07,1.4213382354E+08,1.5329546248E+08,2.7930434231E+08,4.9996220177E+07
5,3.7176968199E+06,5.2235457119E+06,5.3343408929E+06,6.8420053885E+06,9.1370296492E+05
6,9.9604104766E+05,9.9861465284E+05,1.0030091639E+06,1.0482094597E+06,1.1727341058E+04
7,3.5836166066E+03,1.1769838683E+04,1.3162058649E+04,3.4602062880E+04,7.4848374670E+03
8,2.2999893567E+12,7.7568717559E+12,8.2778274113E+12,2.0778570531E+13,4.6340084531E+12
9,2.6088360987E+08,3.4660203738E+08,3.5562333985E+08,5.0374768547E+08,5.2573966057E+07
10,9.0548351135E+07,9.2553871076E+07,9.2313036472E+07,9.4403034591E+07,1.2110926168E+06
11,2.0428643358E+07,4.3249021544E+07,4.5972866054E+07,9.3044654940E+07,1.9563869844E+07
12,2.4877886251E-02,1.7815170180E+02,3.9062132301E+02,1.5923837214E+03,4.3809961123E+02
15,1.8968177459E+06,2.3452639364E+06,2.3614831842E+06,2.8534228706E+06,2.0543237994E+05
