optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
mos-cec2013lsgo,cec2013lsgo,1,1000,1,1022243691,1.5682009997e-22,NaN,3000000,max_evaluations,514.527522
mos-cec2013lsgo,cec2013lsgo,1,1000,2,1023243728,9.5617673754e-23,NaN,3000000,max_evaluations,518.965209
mos-cec2013lsgo,cec2013lsgo,1,1000,3,1024243765,2.4894617015e-22,NaN,3000000,max_evaluations,474.139446
mos-cec2013lsgo,cec2013lsgo,1,1000,4,1025243802,1.1585713608e-22,NaN,3000000,max_evaluations,513.549342
mos-cec2013lsgo,cec2013lsgo,1,1000,5,1026243839,1.2525274881e-22,NaN,3000000,max_evaluations,517.690559
mos-cec2013lsgo,cec2013lsgo,1,1000,6,1027243876,6.4586019354e-23,NaN,3000000,max_evaluations,499.718238
mos-cec2013lsgo,cec2013lsgo,1,1000,7,1028243913,9.1639123427e-23,NaN,3000000,max_evaluations,523.894117
mos-cec2013lsgo,cec2013lsgo,1,1000,8,1029243950,9.9958107987e-23,NaN,3000000,max_evaluations,521.198701
mos-cec2013lsgo,cec2013lsgo,1,1000,9,1030243987,1.0086831702e-22,NaN,3000000,max_evaluations,503.255574
mos-cec2013lsgo,cec2013lsgo,1,1000,10,1031244024,9.9620901077e-23,NaN,3000000,max_evaluations,516.605567
mos-cec2013lsgo,cec2013lsgo,1,1000,11,1032244061,1.0214946795e-22,NaN,3000000,max_evaluations,513.200091
mos-cec2013lsgo,cec2013lsgo,1,1000,12,1033244098,1.5513135037e-22,NaN,3000000,max_evaluations,502.525138
mos-cec2013lsgo,cec2013lsgo,1,1000,13,1034244135,1.1813671753e-22,NaN,3000000,max_evaluations,513.309184
mos-cec2013lsgo,cec2013lsgo,1,1000,14,1035244172,1.3967181434e-22,NaN,3000000,max_evaluations,599.602378
mos-cec2013lsgo,cec2013lsgo,1,1000,15,1036244209,8.2307043968e-23,NaN,3000000,max_evaluations,604.766658
mos-cec2013lsgo,cec2013lsgo,1,1000,16,1037244246,1.4679655219e-22,NaN,3000000,max_evaluations,579.963711
mos-cec2013lsgo,cec2013lsgo,1,1000,17,1038244283,1.0499352964e-22,NaN,3000000,max_evaluations,605.266151
mos-cec2013lsgo,cec2013lsgo,1,1000,18,1039244320,1.3685204190e-22,NaN,3000000,max_evaluations,572.504938
mos-cec2013lsgo,cec2013lsgo,1,1000,19,1040244357,1.3965488633e-22,NaN,3000000,max_evaluations,604.735431
mos-cec2013lsgo,cec2013lsgo,1,1000,20,1041244394,8.5881065960e-23,NaN,3000000,max_evaluations,607.471033
mos-cec2013lsgo,cec2013lsgo,1,1000,21,1042244431,1.3538818957e-22,NaN,3000000,max_evaluations,601.104353
mos-cec2013lsgo,cec2013lsgo,1,1000,22,1043244468,9.3630652527e-23,NaN,3000000,max_evaluations,573.215165
mos-cec2013lsgo,cec2013lsgo,1,1000,23,1044244505,1.6800971388e-22,NaN,3000000,max_evaluations,595.492058
mos-cec2013lsgo,cec2013lsgo,1,1000,24,1045244542,6.9034320646e-23,NaN,3000000,max_evaluations,601.927575
mos-cec2013lsgo,cec2013lsgo,1,1000,25,1046244579,1.1494078563e-22,NaN,3000000,max_evaluations,604.176683
mos-cec2013lsgo,cec2013lsgo,2,1000,1,1023243724,8.7269661375e+02,NaN,3000000,max_evaluations,640.344253
mos-cec2013lsgo,cec2013lsgo,2,1000,2,1024243761,8.1696228658e+02,NaN,3000000,max_evaluations,642.682739
mos-cec2013lsgo,cec2013lsgo,2,1000,3,1025243798,8.3607817325e+02,NaN,3000000,max_evaluations,632.061955
mos-cec2013lsgo,cec2013lsgo,2,1000,4,1026243835,8.1712965166e+02,NaN,3000000,max_evaluations,633.227790
mos-cec2013lsgo,cec2013lsgo,2,1000,5,1027243872,9.2099120628e+02,NaN,3000000,max_evaluations,643.597738
mos-cec2013lsgo,cec2013lsgo,2,1000,6,1028243909,8.1928378198e+02,NaN,3000000,max_evaluations,642.895515
mos-cec2013lsgo,cec2013lsgo,2,1000,7,1029243946,8.2187633746e+02,NaN,3000000,max_evaluations,642.448976
mos-cec2013lsgo,cec2013lsgo,2,1000,8,1030243983,8.0180508117e+02,NaN,3000000,max_evaluations,638.698367
mos-cec2013lsgo,cec2013lsgo,2,1000,9,1031244020,8.3221927290e+02,NaN,3000000,max_evaluations,637.079111
mos-cec2013lsgo,cec2013lsgo,2,1000,10,1032244057,7.9883813669e+02,NaN,3000000,max_evaluations,639.673707
mos-cec2013lsgo,cec2013lsgo,2,1000,11,1033244094,9.1115736534e+02,NaN,3000000,max_evaluations,632.819257
mos-cec2013lsgo,cec2013lsgo,2,1000,12,1034244131,8.2744916025e+02,NaN,3000000,max_evaluations,632.666769
mos-cec2013lsgo,cec2013lsgo,2,1000,13,1035244168,8.5805834440e+02,NaN,3000000,max_evaluations,638.990478
mos-cec2013lsgo,cec2013lsgo,2,1000,14,1036244205,7.7673317917e+02,NaN,3000000,max_evaluations,660.661008
mos-cec2013lsgo,cec2013lsgo,2,1000,15,1037244242,8.1802948338e+02,NaN,3000000,max_evaluations,654.992796
mos-cec2013lsgo,cec2013lsgo,2,1000,16,1038244279,7.8949370711e+02,NaN,3000000,max_evaluations,648.983244
mos-cec2013lsgo,cec2013lsgo,2,1000,17,1039244316,7.4846893992e+02,NaN,3000000,max_evaluations,650.060764
mos-cec2013lsgo,cec2013lsgo,2,1000,18,1040244353,7.7710197261e+02,NaN,3000000,max_evaluations,664.190711
mos-cec2013lsgo,cec2013lsgo,2,1000,19,1041244390,9.1601755258e+02,NaN,3000000,max_evaluations,655.082195
mos-cec2013lsgo,cec2013lsgo,2,1000,20,1042244427,8.4276908879e+02,NaN,3000000,max_evaluations,650.169527
mos-cec2013lsgo,cec2013lsgo,2,1000,21,1043244464,8.4204846747e+02,NaN,3000000,max_evaluations,653.606418
mos-cec2013lsgo,cec2013lsgo,2,1000,22,1044244501,8.7164667752e+02,NaN,3000000,max_evaluations,654.861762
mos-cec2013lsgo,cec2013lsgo,2,1000,23,1045244538,7.8432048700e+02,NaN,3000000,max_evaluations,656.450662
