Eval,BestError,Log10Error
1,2.1729002534952617e+01,1.3370397905861184e+00
101,2.1674485246542936e+01,1.3359487920887068e+00
102,2.1674485246542936e+01,1.3359487920887068e+00
103,2.1674485246542936e+01,1.3359487920887068e+00
105,2.1674381447757298e+01,1.3359467122539490e+00
106,2.1673422351646725e+01,1.3359274942031139e+00
108,2.1671976936339853e+01,1.3358985298423107e+00
109,2.1670794604218152e+01,1.3358748359114379e+00
111,2.1670212372514030e+01,1.3358631675154342e+00
113,2.1670212372514030e+01,1.3358631675154342e+00
114,2.1669339154660353e+01,1.3358456669330774e+00
116,2.1669334485930474e+01,1.3358455733629031e+00
118,2.1669334485930474e+01,1.3358455733629031e+00
119,2.1669319073035190e+01,1.3358452644591960e+00
121,2.1669319073035190e+01,1.3358452644591960e+00
123,2.1669319073035190e+01,1.3358452644591960e+00
125,2.1667631437953609e+01,1.3358114397163323e+00
126,2.1667181329364880e+01,1.3358024178854362e+00
128,2.1666826128501118e+01,1.3357952982219592e+00
130,2.1666826128501118e+01,1.3357952982219592e+00
132,2.1666624841260841e+01,1.3357912635588631e+00
134,2.1665436967595046e+01,1.3357674526919507e+00
136,2.1665436967595046e+01,1.3357674526919507e+00
138,2.1665247439453154e+01,1.3357636534892696e+00
140,2.1663675182889257e+01,1.3357321354034823e+00
142,2.1663646225544689e+01,1.3357315548914845e+00
144,2.1661902941378031e+01,1.3356966055967181e+00
146,2.1661902941378031e+01,1.3356966055967181e+00
148,2.1661902941378031e+01,1.3356966055967181e+00
151,2.1659642637620696e+01,1.3356512869250499e+00
153,2.1658099743534528e+01,1.3356203494684220e+00
155,2.1658099743534528e+01,1.3356203494684220e+00
157,2.1658099743534528e+01,1.3356203494684220e+00
160,2.1657001292044619e+01,1.3355983224427703e+00
162,2.1657001292044619e+01,1.3355983224427703e+00
164,2.1657001292044619e+01,1.3355983224427703e+00
167,2.1656074522955006e+01,1.3355797372606235e+00
169,2.1654346851017323e+01,1.3355450888612006e+00
172,2.1652637017232365e+01,1.3355107954834662e+00
174,2.1652637017232365e+01,1.3355107954834662e+00
177,2.1652629555838125e+01,1.3355106458276575e+00
179,2.1652629555838125e+01,1.3355106458276575e+00
182,2.1652294100934284e+01,1.3355039174373791e+00
185,2.1652294100934284e+01,1.3355039174373791e+00
188,2.1651645466401483e+01,1.3354909071477286e+00
190,2.1650718328888239e+01,1.3354723099779329e+00
193,2.1650718328888239e+01,1.3354723099779329e+00
196,2.1650718328888239e+01,1.3354723099779329e+00
199,2.1649690847565559e+01,1.3354516991117877e+00
202,2.1649654566821685e+01,1.3354509713166347e+00
205,2.1648177294496239e+01,1.3354213360581526e+00
208,2.1647236746991901e+01,1.3354024668730342e+00
211,2.1647236746991901e+01,1.3354024668730342e+00
214,2.1646781367886579e+01,1.3353933308010670e+00
217,2.1646368540747364e+01,1.3353850482645029e+00
220,2.1646368540747364e+01,1.3353850482645029e+00
223,2.1646368540747364e+01,1.3353850482645029e+00
227,2.1644477714248485e+01,1.3353471106593851e+00
230,2.1640372297925779e+01,1.3352647280400753e+00
233,2.1640003992934663e+01,1.3352573365689742e+00
237,2.1639504282254837e+01,1.3352473077308724e+00
240,2.1637674394421474e+01,1.3352105812060246e+00
244,2.1635251924699251e+01,1.3351619565659307e+00
247,2.1635024489293045e+01,1.3351573911251666e+00
251,2.1633091477737882e+01,1.3351185867430642e+00
255,2.1630014485861121e+01,1.3350568102910307e+00
258,2.1628176817121624e+01,1.3350199114115551e+00
262,2.1625581756417844e+01,1.3349677993832654e+00
266,2.1625581756417844e+01,1.3349677993832654e+00
270,2.1624111958140887e+01,1.3349382812421358e+00
274,2.1623383563791528e+01,1.3349236520645251e+00
278,2.1620839328573403e+01,1.3348725494088052e+00
282,2.1620839328573403e+01,1.3348725494088052e+00
286,2.1620839328573403e+01,1.3348725494088052e+00
290,2.1620260407512831e+01,1.3348609205546080e+00
295,2.1616332976351330e+01,1.3347820215686939e+00
