Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1025243790,1250187101212.152,104933663888.323,63567379296.5215,18832971247.37629,3786901026.337623,1456447671.647614,540085462.6548086,385527604.9261806,351613366.6000002,328838325.4076451,303654700.0753036,286024189.6182567,263516023.4205154,187727855.297974
2,1026243827,639864557927.9677,112880896676.0851,39030069802.72214,14252623763.84074,5247306237.751523,1273044532.396733,623183895.0545447,333553245.1391349,241931074.4350953,191136918.0492189,139261557.632094,103539508.1957999,98197401.68970433,88033849.90641917
3,1027243864,904366367855.436,103750125309.1241,27294132619.33023,10476804916.62747,3846627552.010431,1731475983.620441,972439480.2378426,616068521.1305683,518587214.2203124,411130639.4941106,335033866.0036891,232729833.3027407,226959955.2260193,214311449.149753
4,1028243901,1254413907921.404,216553744163.5502,82873586974.19809,14229048149.36064,6181409392.821179,1625933804.336693,611411008.4452978,372427572.8858901,239836779.6049137,174497232.4863578,163153439.2235278,153384712.600843,140261166.9376513,117724642.80789
5,1029243938,719660061802.3591,130304864057.9238,56498657114.88932,14664738663.05596,5193515691.016831,1185961439.468029,676118236.2006767,429686747.5566283,377869936.3152112,352516038.6163845,184431437.6199026,176190005.1813506,172398122.9369557,156393036.8185377
6,1030243975,1190249424729.758,153691189899.528,57924031172.79594,15426612176.11701,3875064232.070014,1378240787.042195,685953789.428792,398722190.6655161,285810817.8143804,259942835.184486,173943738.1531916,137580011.5434943,132121539.1717968,129794535.4598039
7,1031244012,1069585475534.173,120662813762.7947,66934081012.99395,24982289756.03858,6115984467.02461,1538430869.732245,756743151.1386276,544469048.9719962,402401407.5064414,351367847.6760786,225281506.9163906,182549740.8499053,166126715.7276216,159021942.7198081
8,1032244049,1058839579782.116,121692953587.8027,71013823930.68648,20341903898.03584,4898310731.629988,1917940831.177329,922568482.2770078,666962645.1894727,339844348.3595619,268236556.9406999,245357707.4905019,226692764.7912065,203512586.1829563,192516660.6441131
9,1033244086,2136230221389.73,227995190487.5468,87661039505.05444,22095087521.86668,7143034565.033247,1599510134.844789,850944358.3575214,501390796.1880111,392661965.0192522,329907039.7211049,215640526.3075,196727343.9861276,180556242.7670942,161398014.8456727
10,1034244123,994710940048.4789,154511534680.0898,51551254818.87361,13333291176.17264,2682877938.95785,1029134276.375667,602083444.7858177,448023007.3290483,408087369.187925,271301708.1043122,232575541.2405343,181674853.7771593,176397033.1408041,170439000.2015414
11,1035244160,1284365447935.143,219936898017.1768,105223219420.0939,23582927392.01566,7471354158.074981,1908773312.175526,841720944.4308176,446293336.9491237,298429136.9776286,200759254.7797298,182198244.9667664,122789358.2114212,109118444.9781682,94932344.86896802
12,1036244197,750070986137.5562,95136236971.93083,36197741790.49763,11075942668.2266,3168928087.011169,1073875417.882517,716299359.457338,528177484.610542,423573773.4044216,305719660.0314925,210104977.4860897,189061028.0237775,175711586.4214381,152572367.6393098
13,1037244234,762765115445.6298,126620608810.7469,64059713157.26839,20887318583.66704,6971009901.14853,1555956956.809723,711914507.8666269,471790653.2265345,355887040.5710695,251607577.5870965,185950914.7995374,171517687.078312,146993749.2803735,142086836.331181
14,1038244271,716298199514.823,138209466343.0959,65180409765.77269,17263214772.36707,5037775951.462828,1540627996.210865,535548430.2294073,355163474.5302407,254370288.9497194,232305752.5127484,174701177.5796327,165216000.6488705,134043056.8639445,118333403.1694224
15,1039244308,949266594683.2886,130336905097.4226,39750081191.89883,12516680652.24176,3619902996.721929,1461214272.759413,937109918.1030481,634745390.0216659,563204407.7195116,442254757.5649698,415008761.7514622,301782575.2299762,284195165.1118432,264680026.0638012
16,1040244345,1977656948758.368,116819409993.4798,45646563572.6443,15922323624.333,3674630533.314694,1596097811.303325,783293939.1972587,544459411.8706255,413992614.1961413,387621869.8267188,363348154.0907078,332866275.3677008,304056949.4684169,230516548.894109
17,1041244382,2193052397994.367,324167343789.6885,142424519964.1012,41697734201.61782,8934696372.442795,2446168201.196149,737102512.2181029,489247819.5595321,310453463.3130824,218608864.3906825,203314723.5905568,181848598.565238,170150803.4085289,162458817.8293472
18,1042244419,941215883697.7189,160118858513.8876,59968293549.27565,22939758773.80581,7129198485.015328,1882850625.129571,638248507.8999331,435250455.0332382,276626122.9369986,195875931.9338126,174745814.761977,160742368.3136749,130247446.3465459,126292422.7216458
19,1043244456,1105872237002.706,107760020292.7902,78248819748.97681,22453323260.35524,3723190421.397275,1299876885.669312,813069042.6535599,529319827.9643986,442760941.6470023,386153884.2682624,308146381.9009584,198005984.5271586,192361611.2728657,183908510.5592437
20,1044244493,988351642885.5363,102014090740.8164,47073377118.55448,12799854810.70543,2787728433.554553,1234333679.092296,680284345.1102233,465734535.4842907,350162519.4309524,308967960.8355317,204565034.7907324,194377234.6195364,153463993.0599378,131626637.9201519
21,1045244530,2010772922826.484,283334072923.1202,111622015607.7185,42789257651.20252,6441645324.756318,1701737740.012232,750882208.5242443,471267354.115101,277668483.2439816,206124088.4271696,192226518.5109872,133043441.7415041,127325237.3079981,105246792.4365979
