optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
shade-ils,cec2013lsgo,1,1000,1,1022243691,0.0000000000e+00,NaN,3000000,max_evaluations,396.161057
shade-ils,cec2013lsgo,1,1000,2,1023243728,0.0000000000e+00,NaN,3000000,max_evaluations,323.459950
shade-ils,cec2013lsgo,1,1000,3,1024243765,0.0000000000e+00,NaN,3000000,max_evaluations,363.675107
shade-ils,cec2013lsgo,1,1000,4,1025243802,0.0000000000e+00,NaN,3000000,max_evaluations,332.018814
shade-ils,cec2013lsgo,1,1000,5,1026243839,8.3877484250e-31,NaN,3000000,max_evaluations,392.586663
shade-ils,cec2013lsgo,1,1000,6,1027243876,0.0000000000e+00,NaN,3000000,max_evaluations,333.332086
shade-ils,cec2013lsgo,1,1000,7,1028243913,0.0000000000e+00,NaN,3000000,max_evaluations,394.115369
shade-ils,cec2013lsgo,1,1000,8,1029243950,0.0000000000e+00,NaN,3000000,max_evaluations,404.695226
shade-ils,cec2013lsgo,1,1000,9,1030243987,7.5548701256e-30,NaN,3000000,max_evaluations,406.868884
shade-ils,cec2013lsgo,1,1000,10,1031244024,0.0000000000e+00,NaN,3000000,max_evaluations,328.748075
shade-ils,cec2013lsgo,1,1000,11,1032244061,0.0000000000e+00,NaN,3000000,max_evaluations,261.106550
shade-ils,cec2013lsgo,1,1000,12,1033244098,0.0000000000e+00,NaN,3000000,max_evaluations,347.250684
shade-ils,cec2013lsgo,1,1000,13,1034244135,0.0000000000e+00,NaN,3000000,max_evaluations,329.274596
shade-ils,cec2013lsgo,1,1000,14,1035244172,0.0000000000e+00,NaN,3000000,max_evaluations,299.050138
shade-ils,cec2013lsgo,1,1000,15,1036244209,0.0000000000e+00,NaN,3000000,max_evaluations,238.166209
shade-ils,cec2013lsgo,1,1000,16,1037244246,0.0000000000e+00,NaN,3000000,max_evaluations,372.129507
shade-ils,cec2013lsgo,1,1000,17,1038244283,0.0000000000e+00,NaN,3000000,max_evaluations,290.709451
shade-ils,cec2013lsgo,1,1000,18,1039244320,0.0000000000e+00,NaN,3000000,max_evaluations,334.804092
shade-ils,cec2013lsgo,1,1000,19,1040244357,0.0000000000e+00,NaN,3000000,max_evaluations,323.070467
shade-ils,cec2013lsgo,1,1000,20,1041244394,3.5603045747e-30,NaN,3000000,max_evaluations,357.939084
shade-ils,cec2013lsgo,1,1000,21,1042244431,0.0000000000e+00,NaN,3000000,max_evaluations,302.312836
shade-ils,cec2013lsgo,1,1000,22,1043244468,3.2032519099e-30,NaN,3000000,max_evaluations,343.623473
shade-ils,cec2013lsgo,1,1000,23,1044244505,8.3877484250e-31,NaN,3000000,max_evaluations,346.143908
shade-ils,cec2013lsgo,1,1000,24,1045244542,0.0000000000e+00,NaN,3000000,max_evaluations,298.773385
shade-ils,cec2013lsgo,1,1000,25,1046244579,0.0000000000e+00,NaN,3000000,max_evaluations,279.392250
shade-ils,cec2013lsgo,2,1000,1,1023243724,9.2441279422e+02,NaN,3000000,max_evaluations,819.372136
shade-ils,cec2013lsgo,2,1000,2,1024243761,9.0863084091e+02,NaN,3000000,max_evaluations,813.635775
shade-ils,cec2013lsgo,2,1000,3,1025243798,1.1914992266e+03,NaN,3000000,max_evaluations,815.674065
shade-ils,cec2013lsgo,2,1000,4,1026243835,1.0329853803e+03,NaN,3000000,max_evaluations,824.124044
shade-ils,cec2013lsgo,2,1000,5,1027243872,9.5235906616e+02,NaN,3000000,max_evaluations,807.394118
shade-ils,cec2013lsgo,2,1000,6,1028243909,9.3301858643e+02,NaN,3000000,max_evaluations,814.676129
shade-ils,cec2013lsgo,2,1000,7,1029243946,9.2719672441e+02,NaN,3000000,max_evaluations,821.051983
shade-ils,cec2013lsgo,2,1000,8,1030243983,1.0190568441e+03,NaN,3000000,max_evaluations,820.363421
shade-ils,cec2013lsgo,2,1000,9,1031244020,9.0544905640e+02,NaN,3000000,max_evaluations,818.038231
shade-ils,cec2013lsgo,2,1000,10,1032244057,1.1494142455e+03,NaN,3000000,max_evaluations,821.476787
shade-ils,cec2013lsgo,2,1000,11,1033244094,9.6189226252e+02,NaN,3000000,max_evaluations,818.811225
shade-ils,cec2013lsgo,2,1000,12,1034244131,1.1195752624e+03,NaN,3000000,max_evaluations,818.798601
shade-ils,cec2013lsgo,2,1000,13,1035244168,1.0264961466e+03,NaN,3000000,max_evaluations,819.599345
shade-ils,cec2013lsgo,2,1000,14,1036244205,1.0705939989e+03,NaN,3000000,max_evaluations,849.621593
shade-ils,cec2013lsgo,2,1000,15,1037244242,1.0081449888e+03,NaN,3000000,max_evaluations,854.106821
shade-ils,cec2013lsgo,2,1000,16,1038244279,9.6193027809e+02,NaN,3000000,max_evaluations,854.435346
shade-ils,cec2013lsgo,2,1000,17,1039244316,9.2672328095e+02,NaN,3000000,max_evaluations,871.664344
shade-ils,cec2013lsgo,2,1000,18,1040244353,1.1266347368e+03,NaN,3000000,max_evaluations,851.917136
shade-ils,cec2013lsgo,2,1000,19,1041244390,1.3977545024e+03,NaN,3000000,max_evaluations,856.673134
shade-ils,cec2013lsgo,2,1000,20,1042244427,9.3024327834e+02,NaN,3000000,max_evaluations,853.875080
shade-ils,cec2013lsgo,2,1000,21,1043244464,8.8274267562e+02,NaN,3000000,max_evaluations,851.249993
shade-ils,cec2013lsgo,2,1000,22,1044244501,1.1811073970e+03,NaN,3000000,max_evaluations,856.630379
shade-ils,cec2013lsgo,2,1000,23,1045244538,1.0642415077e+03,NaN,3000000,max_evaluations,865.326007
shade-ils,cec2013lsgo,2,1000,24,1046244575,9.1229100471e+02,NaN,3000000,max_evaluations,867.955405
shade-ils,cec2013lsgo,2,1000,25,1047244612,9.7325632081e+02,NaN,3000000,max_evaluations,854.561229
shade-ils,cec2013lsgo,3,1000,1,1024243757,2.0041917919e+01,NaN,3000000,max_evaluations,978.181693
shade-ils,cec2013lsgo,3,1000,2,1025243794,2.0068614757e+01,NaN,3000000,max_evaluations,973.190315
shade-ils,cec2013lsgo,3,1000,3,1026243831,2.0047287220e+01,NaN,3000000,max_evaluations,993.390876
shade-ils,cec2013lsgo,3,1000,4,1027243868,2.0050725390e+01,NaN,3000000,max_evaluations,979.747174
shade-ils,cec2013lsgo,3,1000,5,1028243905,2.0046248808e+01,NaN,3000000,max_evaluations,878.056411
shade-ils,cec2013lsgo,3,1000,6,1029243942,2.0046206791e+01,NaN,3000000,max_evaluations,883.975690
shade-ils,cec2013lsgo,3,1000,7,1030243979,2.0042294841e+01,NaN,3000000,max_evaluations,887.030938
shade-ils,cec2013lsgo,3,1000,8,1031244016,2.0039306415e+01,NaN,3000000,max_evaluations,882.764030
shade-ils,cec2013lsgo,3,1000,9,1032244053,2.0048484361e+01,NaN,3000000,max_evaluations,887.688499
shade-ils,cec2013lsgo,3,1000,10,1033244090,2.0046935102e+01,NaN,3000000,max_evaluations,887.441035
shade-ils,cec2013lsgo,3,1000,11,1034244127,2.0042714314e+01,NaN,3000000,max_evaluations,976.126960
shade-ils,cec2013lsgo,3,1000,12,1035244164,2.0049454796e+01,NaN,3000000,max_evaluations,977.044408
