==============================================================================================================
DETAILED PER-RUN LOG   SHADE-ILS   CEC2013LSGO   D1000
runs per function : 25
functions         : [2 3 4 5 6 7 8 9 10 11 12]
statistics basis  : raw objective
generated         : 2026-07-27_03.07.37
==============================================================================================================

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    9.2441279421747231e+02   nan                      3000000       max_evaluations         819.3721  
2      1024243761    9.0863084090767973e+02   nan                      3000000       max_evaluations         813.6358  
3      1025243798    1.1914992265554481e+03   nan                      3000000       max_evaluations         815.6741  
4      1026243835    1.0329853802533139e+03   nan                      3000000       max_evaluations         824.1240  
5      1027243872    9.5235906616068246e+02   nan                      3000000       max_evaluations         807.3941  
6      1028243909    9.3301858643150501e+02   nan                      3000000       max_evaluations         814.6761  
7      1029243946    9.2719672441146588e+02   nan                      3000000       max_evaluations         821.0520  
8      1030243983    1.0190568441133291e+03   nan                      3000000       max_evaluations         820.3634  
9      1031244020    9.0544905640463833e+02   nan                      3000000       max_evaluations         818.0382  
10     1032244057    1.1494142455277281e+03   nan                      3000000       max_evaluations         821.4768  
11     1033244094    9.6189226251825994e+02   nan                      3000000       max_evaluations         818.8112  
12     1034244131    1.1195752624040967e+03   nan                      3000000       max_evaluations         818.7986  
13     1035244168    1.0264961466439916e+03   nan                      3000000       max_evaluations         819.5993  
14     1036244205    1.0705939988893244e+03   nan                      3000000       max_evaluations         849.6216  
15     1037244242    1.0081449888050738e+03   nan                      3000000       max_evaluations         854.1068  
16     1038244279    9.6193027809322848e+02   nan                      3000000       max_evaluations         854.4353  
17     1039244316    9.2672328095087892e+02   nan                      3000000       max_evaluations         871.6643  
18     1040244353    1.1266347367577885e+03   nan                      3000000       max_evaluations         851.9171  
19     1041244390    1.3977545024004689e+03   nan                      3000000       max_evaluations         856.6731  
20     1042244427    9.3024327834471183e+02   nan                      3000000       max_evaluations         853.8751  
21     1043244464    8.8274267561631746e+02   nan                      3000000       max_evaluations         851.2500  
22     1044244501    1.1811073969998124e+03   nan                      3000000       max_evaluations         856.6304  
23     1045244538    1.0642415076514924e+03   nan                      3000000       max_evaluations         865.3260  
24     1046244575    9.1229100470765604e+02   nan                      3000000       max_evaluations         867.9554  
25     1047244612    9.7325632081067181e+02   nan                      3000000       max_evaluations         854.5612  

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.0041917919185465e+01   nan                      3000000       max_evaluations         978.1817  
2      1025243794    2.0068614756502033e+01   nan                      3000000       max_evaluations         973.1903  
3      1026243831    2.0047287220358275e+01   nan                      3000000       max_evaluations         993.3909  
4      1027243868    2.0050725390391296e+01   nan                      3000000       max_evaluations         979.7472  
5      1028243905    2.0046248808408833e+01   nan                      3000000       max_evaluations         878.0564  
6      1029243942    2.0046206790962188e+01   nan                      3000000       max_evaluations         883.9757  
7      1030243979    2.0042294841247593e+01   nan                      3000000       max_evaluations         887.0309  
8      1031244016    2.0039306414684596e+01   nan                      3000000       max_evaluations         882.7640  
9      1032244053    2.0048484361445574e+01   nan                      3000000       max_evaluations         887.6885  
10     1033244090    2.0046935101689094e+01   nan                      3000000       max_evaluations         887.4410  
