==============================================================================================================
DETAILED PER-RUN LOG   SHADE-ILS   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-27_03.07.37
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     9.6043268263457474e+04   nan                      3000000       max_evaluations         974.8462  
2      940243839     1.1678405670140765e+05   nan                      3000000       max_evaluations         982.8670  
3      941243876     3.1821091322526518e+04   nan                      3000000       max_evaluations         981.0006  
4      942243913     1.4094733364512940e+05   nan                      3000000       max_evaluations         991.3434  
5      943243950     8.7694824145285616e+04   nan                      3000000       max_evaluations         988.2198  
6      944243987     7.4910634901266443e+04   nan                      3000000       max_evaluations         990.3053  
7      945244024     3.1193619205823634e+04   nan                      3000000       max_evaluations         979.1862  
8      946244061     6.1075118062901158e+04   nan                      3000000       max_evaluations         978.7080  
9      947244098     6.4499521856695494e+04   nan                      3000000       max_evaluations         977.8485  
10     948244135     4.5391544861705152e+04   nan                      3000000       max_evaluations         976.6486  
11     949244172     5.1047262046800242e+04   nan                      3000000       max_evaluations         977.2477  
12     950244209     9.4272199474098175e+04   nan                      3000000       max_evaluations         975.0631  
13     951244246     8.8741948143107555e+04   nan                      3000000       max_evaluations         978.5358  
14     952244283     3.5374004290541438e+04   nan                      3000000       max_evaluations         950.6670  
15     953244320     1.4497954249430459e+05   nan                      3000000       max_evaluations         948.3507  
16     954244357     1.3747493849556107e+05   nan                      3000000       max_evaluations         954.7622  
17     955244394     4.6678101162285646e+04   nan                      3000000       max_evaluations         957.4540  
18     956244431     3.8755446684660921e+04   nan                      3000000       max_evaluations         947.1475  
19     957244468     3.7433757095496941e+04   nan                      3000000       max_evaluations         956.6538  
20     958244505     6.0163132166875715e+04   nan                      3000000       max_evaluations         952.0451  
21     959244542     5.9510355338926616e+04   nan                      3000000       max_evaluations         955.4581  
22     960244579     4.7118547445896795e+04   nan                      3000000       max_evaluations         954.8379  
23     961244616     9.5444894427428924e+04   nan                      3000000       max_evaluations         952.2180  
24     962244653     1.2633107573991883e+05   nan                      3000000       max_evaluations         949.7978  
25     963244690     7.2719671211810739e+04   nan                      3000000       max_evaluations         945.7891  

