==============================================================================================================
DETAILED PER-RUN LOG   SHADE-ILS   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-27_04.01.38
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     9.6043268263457474e+04   nan                      3000000       max_evaluations         974.8462  
2      940243839     1.1678405670140765e+05   nan                      3000000       max_evaluations         982.8670  
3      941243876     3.1821091322526518e+04   nan                      3000000       max_evaluations         981.0006  
4      942243913     1.4094733364512940e+05   nan                      3000000       max_evaluations         991.3434  
5      943243950     8.7694824145285616e+04   nan                      3000000       max_evaluations         988.2198  
6      944243987     7.4910634901266443e+04   nan                      3000000       max_evaluations         990.3053  
7      945244024     3.1193619205823634e+04   nan                      3000000       max_evaluations         979.1862  
8      946244061     6.1075118062901158e+04   nan                      3000000       max_evaluations         978.7080  
9      947244098     6.4499521856695494e+04   nan                      3000000       max_evaluations         977.8485  
10     948244135     4.5391544861705152e+04   nan                      3000000       max_evaluations         976.6486  
11     949244172     5.1047262046800242e+04   nan                      3000000       max_evaluations         977.2477  
12     950244209     9.4272199474098175e+04   nan                      3000000       max_evaluations         975.0631  
13     951244246     8.8741948143107555e+04   nan                      3000000       max_evaluations         978.5358  
14     952244283     3.5374004290541438e+04   nan                      3000000       max_evaluations         950.6670  
15     953244320     1.4497954249430459e+05   nan                      3000000       max_evaluations         948.3507  
16     954244357     1.3747493849556107e+05   nan                      3000000       max_evaluations         954.7622  
17     955244394     4.6678101162285646e+04   nan                      3000000       max_evaluations         957.4540  
18     956244431     3.8755446684660921e+04   nan                      3000000       max_evaluations         947.1475  
19     957244468     3.7433757095496941e+04   nan                      3000000       max_evaluations         956.6538  
20     958244505     6.0163132166875715e+04   nan                      3000000       max_evaluations         952.0451  
21     959244542     5.9510355338926616e+04   nan                      3000000       max_evaluations         955.4581  
22     960244579     4.7118547445896795e+04   nan                      3000000       max_evaluations         954.8379  
23     961244616     9.5444894427428924e+04   nan                      3000000       max_evaluations         952.2180  
24     962244653     1.2633107573991883e+05   nan                      3000000       max_evaluations         949.7978  
25     963244690     7.2719671211810739e+04   nan                      3000000       max_evaluations         945.7891  

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     7.2894777938507628e+06   nan                      3000000       max_evaluations         979.0027  
2      941243872     7.1188428720789887e+06   nan                      3000000       max_evaluations         1061.1301 
3      942243909     6.8115583379432801e+06   nan                      3000000       max_evaluations         1061.0288 
4      943243946     6.7452633359161075e+06   nan                      3000000       max_evaluations         1058.0760 
5      944243983     6.6972456723743007e+06   nan                      3000000       max_evaluations         1061.7288 
6      945244020     5.9692889116919795e+06   nan                      3000000       max_evaluations         1060.2757 
7      946244057     6.5783425996625451e+06   nan                      3000000       max_evaluations         990.1140  
8      947244094     7.0200659609390693e+06   nan                      3000000       max_evaluations         1063.8649 
9      948244131     8.0651427249259530e+06   nan                      3000000       max_evaluations         977.6391  
10     949244168     6.5710578175872844e+06   nan                      3000000       max_evaluations         1068.5800 
11     950244205     6.7235709458205998e+06   nan                      3000000       max_evaluations         984.0939  
12     951244242     7.1388598639739044e+06   nan                      3000000       max_evaluations         982.1676  
13     952244279     7.5590651752598183e+06   nan                      3000000       max_evaluations         995.7790  
14     953244316     9.8641519279009476e+06   nan                      3000000       max_evaluations         942.9034  
15     954244353     6.4225680930032944e+06   nan                      3000000       max_evaluations         940.7147  
16     955244390     7.8206906842014818e+06   nan                      3000000       max_evaluations         939.7079  
17     956244427     7.2622905980304983e+06   nan                      3000000       max_evaluations         946.9986  
18     957244464     6.8825951124755843e+06   nan                      3000000       max_evaluations         942.9317  
19     958244501     8.2299473208417753e+06   nan                      3000000       max_evaluations         938.8679  
20     959244538     7.6124927112305518e+06   nan                      3000000       max_evaluations         942.3790  
21     960244575     6.3328419766964642e+06   nan                      3000000       max_evaluations         944.7350  
22     961244612     6.4399191281887498e+06   nan                      3000000       max_evaluations         943.6836  
23     962244649     6.2801876588385394e+06   nan                      3000000       max_evaluations         941.9638  
24     963244686     6.9038367646326376e+06   nan                      3000000       max_evaluations         938.8505  
25     964244723     6.9674451161741158e+06   nan                      3000000       max_evaluations         941.5734  

