Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,6.3983905181E-31,7.5548701256E-30,1.7222186544E-30
2,8.8274267562E+02,9.7325632081E+02,1.0195060163E+03,1.3977545024E+03,1.2119373695E+02
3,2.0037599047E+01,2.0048484361E+01,2.0049780907E+01,2.0068670624E+01,8.0695166074E-03
4,8.8033849906E+07,1.5639303682E+08,1.5675806445E+08,2.6468002606E+08,4.7235852300E+07
5,7.9758910391E+05,1.3328889462E+06,1.2759568729E+06,1.6254373831E+06,1.9651981588E+05
6,1.0227526912E+06,1.0360210218E+06,1.0346257323E+06,1.0441054114E+06,5.9523600926E+03
7,7.1228079798E+00,3.8881569062E+01,7.3704459623E+01,5.0444142015E+02,9.8891084522E+01
8,2.8509421855E+10,2.6780684995E+11,3.1093712928E+11,1.3267788716E+12,2.9425397901E+11
9,1.3450151624E+08,1.6142175599E+08,1.6108176785E+08,1.9341950542E+08,1.6850024242E+07
10,9.0946343938E+07,9.2423051301E+07,9.2403378936E+07,9.3190213338E+07,5.4888028215E+05
11,2.3955474468E+05,4.2187006083E+05,4.8158137027E+05,1.0900213466E+06,2.0532135724E+05
12,4.1191145004E-21,5.5835587871E-11,4.1144209319E+01,7.4863799854E+02,1.5569516620E+02
15,7.7820180752E+05,1.7613808513E+06,1.7237317496E+06,3.0214419367E+06,5.7130097459E+05
