doc,field_type,field_id,target,cached_result,location
DT-GSK.docx,BOOKMARK,ref_alg_dt_gsk,alg:dt-gsk,1,alg:dt-gsk caption
DT-GSK.docx,BOOKMARK,ref_eq_ace_update,eq:ace-update,7,eq:ace-update equation
DT-GSK.docx,BOOKMARK,ref_eq_bse_cauchy,eq:bse-cauchy,10,eq:bse-cauchy equation
DT-GSK.docx,BOOKMARK,ref_eq_eigen_polish,eq:eigen-polish,12,eq:eigen-polish equation
DT-GSK.docx,BOOKMARK,ref_eq_greedy_accept,eq:greedy-accept,9,eq:greedy-accept equation
DT-GSK.docx,BOOKMARK,ref_eq_gsk_update,eq:gsk-update,4,eq:gsk-update equation
DT-GSK.docx,BOOKMARK,ref_eq_junior_idx,eq:junior-idx,1,eq:junior-idx equation
DT-GSK.docx,BOOKMARK,ref_eq_kexp_schedule,eq:kexp-schedule,3,eq:kexp-schedule equation
DT-GSK.docx,BOOKMARK,ref_eq_kr_mask,eq:kr-mask,5,eq:kr-mask equation
DT-GSK.docx,BOOKMARK,ref_eq_midpoint_repair,eq:midpoint-repair,8,eq:midpoint-repair equation
DT-GSK.docx,BOOKMARK,ref_eq_nlpsr,eq:nlpsr,6,eq:nlpsr equation
DT-GSK.docx,BOOKMARK,ref_eq_rng_substreams,eq:rng-substreams,13,eq:rng-substreams equation
DT-GSK.docx,BOOKMARK,ref_eq_senior_idx,eq:senior-idx,2,eq:senior-idx equation
DT-GSK.docx,BOOKMARK,ref_eq_sgsm_graph,eq:sgsm-graph,11,eq:sgsm-graph equation
DT-GSK.docx,BOOKMARK,ref_fig_cd_cec2017,fig:cd-cec2017,4,fig:cd-cec2017 caption
DT-GSK.docx,BOOKMARK,ref_fig_cec2011_ranks,fig:cec2011-ranks,5,fig:cec2011-ranks caption
DT-GSK.docx,BOOKMARK,ref_fig_cec2017_ranks,fig:cec2017-ranks,3,fig:cec2017-ranks caption
DT-GSK.docx,BOOKMARK,ref_fig_conv_cec2017_d100,fig:conv-cec2017-d100,7,fig:conv-cec2017-d100 caption
DT-GSK.docx,BOOKMARK,ref_fig_conv_cec2017_d30,fig:conv-cec2017-d30,6,fig:conv-cec2017-d30 caption
